"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"MFSD4A",-1.78501281451982,5.28682554677139,-6.77498571706899,4.02954032617639e-09,1.33732384345142e-06,10.676425981314,"Downregulated"
"LIPF",-4.75504158918474,5.72881035704016,-6.54233355261873,1.03865862169451e-08,2.46445563353339e-06,9.77392560819138,"Downregulated"
"CAPN9",-1.67299338087098,4.34845826939388,-6.42330579077048,1.6823378501614e-08,3.10688614942866e-06,9.31436758986438,"Downregulated"
"GKN1",-4.73831189232512,6.32005168181336,-6.42270766679062,1.68641276489549e-08,3.10688614942866e-06,9.31206243054062,"Downregulated"
"GKN2",-3.906686795575,5.66519533770249,-6.21798904185837,3.84965426907489e-08,5.50699680526109e-06,8.5257713947142,"Downregulated"
"CYSTM1",-1.09162144844288,6.94887134732946,-6.14885331102923,5.08065213127127e-08,6.535530346226e-06,8.26154210871195,"Downregulated"
"GCNT4",-1.61394595472958,4.29839160939845,-6.07634724923629,6.79143767465078e-08,7.81704260506051e-06,7.98521080013876,"Downregulated"
"LGALS9C",-1.22178078135099,6.16034990610048,-6.07485974264074,6.83193769776404e-08,7.81704260506051e-06,7.97955035254944,"Downregulated"
"ERLN",-1.50986328868318,4.89474287953812,-6.00699316449393,8.95761670003642e-08,9.40776528610154e-06,7.7216795723571,"Downregulated"
"TMEM171",-1.27631688311376,5.66214229464908,-5.96714956227396,1.04981130145938e-07,1.02802035270376e-05,7.57064624119055,"Downregulated"
"MUC6",-2.41634801770656,7.05071254021032,-5.9224145910087,1.25415948836218e-07,1.18247287215239e-05,7.40140000112019,"Downregulated"
"TFF2",-2.26720881594949,6.57880413002597,-5.84544626897878,1.7017500837569e-07,1.45911430246499e-05,7.11104991258852,"Downregulated"
"SLC9A2",-1.49792671532108,4.02385625971938,-5.83765354086847,1.75505016404224e-07,1.48588277663862e-05,7.08171452326479,"Downregulated"
"PGC",-3.91068618482611,8.18945283694653,-5.80028964210935,2.03442367933816e-07,1.65486404583027e-05,6.94122086962556,"Downregulated"
"FA2H",-1.02110032531159,4.79157902695699,-5.76727794681695,2.31753601519545e-07,1.79706507645576e-05,6.81731788961468,"Downregulated"
"CXCL17",-2.7414841504147,5.84962578230686,-5.74276704544944,2.55259598355011e-07,1.89945191708657e-05,6.72546088026204,"Downregulated"
"ALDOB",-2.04182661991166,5.54406113608573,-5.71585301145832,2.83787230827613e-07,2.05640406478315e-05,6.62473775809188,"Downregulated"
"SULT1B1",-1.40935957245153,4.02972336007468,-5.64213093511432,3.79056174373671e-07,2.44501287609572e-05,6.34961021876983,"Downregulated"
"SLC9A3",-1.41900254830177,5.06083037229021,-5.61381703075635,4.23502817634709e-07,2.66197187720847e-05,6.24425208695371,"Downregulated"
"HOMER2",-1.13637473874082,5.24149970106036,-5.60274208483842,4.42253628380068e-07,2.73834205572345e-05,6.2030890180636,"Downregulated"
"CCKAR",-1.90235767749962,4.44370250570834,-5.58215532494837,4.79309594913733e-07,2.91342982344267e-05,6.12664472636973,"Downregulated"
"TMPRSS2",-1.10983257653096,5.82306442103179,-5.55972647860204,5.23170140218531e-07,3.07281993574859e-05,6.04346806945706,"Downregulated"
"PGA4",-4.10855987178348,7.97829908475671,-5.52610106848323,5.96436550640202e-07,3.3101231174995e-05,5.91898321179749,"Downregulated"
"PGA3",-4.0118996472664,7.99963724601192,-5.51966637890175,6.11567871278271e-07,3.3794402948129e-05,5.8951909244176,"Downregulated"
"SLC26A9",-1.403044730908,4.69627669927998,-5.50459156001303,6.48513565373528e-07,3.46604825936473e-05,5.83948939737567,"Downregulated"
"PGA5",-4.04366791608477,8.00588535647459,-5.48993215131936,6.86547154520873e-07,3.58256713274194e-05,5.78537381332447,"Downregulated"
"SLC2A12",-1.42012165302462,4.36968040339388,-5.46053244098194,7.69566467170501e-07,3.84644155308051e-05,5.67699735390564,"Downregulated"
"CA9",-1.44709353673671,5.03868593315026,-5.4249864915366,8.83225029876869e-07,4.21156211085539e-05,5.54624147871449,"Downregulated"
"LINC00261",-1.78690003369026,5.04608795932925,-5.4186944614875,9.04998473573875e-07,4.26293770326593e-05,5.52312831283818,"Downregulated"
"PBLD",-1.1033105976428,4.7839895148513,-5.40787979912766,9.43663504990948e-07,4.39863825893814e-05,5.48342446959193,"Downregulated"
"PIK3C2G",-1.70717570385389,3.91567197863169,-5.3905260423739,1.00913101225065e-06,4.60041758716686e-05,5.41977424312625,"Downregulated"
"CLIC6",-1.86515250771144,5.80439741430872,-5.35261054965227,1.16811290144199e-06,5.12365913458284e-05,5.28097050553016,"Downregulated"
"ELAPOR1",-1.91738401688018,6.39194905439474,-5.28811172671864,1.49699355550568e-06,5.95851609006084e-05,5.04569634952671,"Downregulated"
"SCNN1B",-1.17314104411677,4.26576162580752,-5.21494116327874,1.98102604775911e-06,6.88677535526725e-05,4.78012532456762,"Downregulated"
"CKB",-1.26463789463028,5.98240031329218,-5.17949335245036,2.26786623816644e-06,7.45207373388789e-05,4.65199481782426,"Downregulated"
"ACER2",-1.20756082158857,4.64465948837542,-5.13692680121642,2.6665328351018e-06,8.38038747456047e-05,4.49859924642939,"Downregulated"
"ST6GALNAC1",-1.22856304187035,4.85946256479387,-5.01640409371287,4.20635199824832e-06,0.000112830988329165,4.06713433924749,"Downregulated"
"BCAS1",-1.27720493568507,5.81883011262323,-4.92440821481886,5.94010222837849e-06,0.000140213451461896,3.74076322444191,"Downregulated"
"VSIG1",-2.57658029544009,6.15534620243789,-4.89685629640314,6.58372168815379e-06,0.000148862413790715,3.64353857404126,"Downregulated"
"MUC5AC",-1.88489261400521,6.80942811797596,-4.86933015937284,7.29469393932238e-06,0.000160328677124657,3.54665026002413,"Downregulated"
"FAM177B",-1.05671124921513,4.24026748451296,-4.84404308115005,8.0136566584579e-06,0.000170485408449295,3.45786207067606,"Downregulated"
"GPR155",-1.14160759715747,4.66955050538024,-4.82635022545223,8.55741948961309e-06,0.000179135220262748,3.39586484749127,"Downregulated"
"CA2",-1.47470325204239,5.47451109969849,-4.79200424043394,9.71782928188798e-06,0.000191780491147967,3.27581365038375,"Downregulated"
"TFF1",-2.45014288294797,8.36857965855653,-4.77303785769106,1.04230849660243e-05,0.000202823526000616,3.20969112610876,"Downregulated"
"SPTSSB",-1.10836274188548,4.33317999176228,-4.70589608125452,1.33445021718632e-05,0.000238642721777324,2.97661436999401,"Downregulated"
"HPGD",-1.13035919394667,4.83125490175256,-4.60629974494248,1.91989192631701e-05,0.000297744734815929,2.63382887907461,"Downregulated"
"PAIP2B",-1.09104064711405,4.97148427396775,-4.60229165004285,1.94806499112208e-05,0.000300988738013779,2.6201098234903,"Downregulated"
"MUCL3",-2.50608810303321,7.09398126741162,-4.5976562600886,1.98114951911037e-05,0.000303556741644667,2.60425107068215,"Downregulated"
"AKR1B10",-2.3747186349218,6.52270361260013,-4.59671931528926,1.98790300594954e-05,0.000303850065341656,2.60104653322752,"Downregulated"
"C1orf116",-1.08565145687282,5.95306234527113,-4.58628970983883,2.06460941004951e-05,0.000311172829703557,2.56539728116828,"Downregulated"
"UGT2B15",-1.37888516786858,3.99776317496514,-4.55520360137801,2.31072590063333e-05,0.000335763446542114,2.45938418176434,"Downregulated"
"FER1L6",-1.55656962675222,4.91128997786599,-4.45280146876131,3.34046937828377e-05,0.000424801316972356,2.11277696048486,"Downregulated"
"PLAAT2",-1.16550090073581,4.4490639364389,-4.36926054966152,4.49930777394531e-05,0.000519203847015636,1.83307626174657,"Downregulated"
