"","GSM3141461_CON_GC_1.CEL","GSM3141462_CON_GC_2.CEL","GSM3141463_CON_GC_3.CEL","GSM3141464_PCOS_GC_1.CEL","GSM3141465_PCOS_GC_2.CEL","GSM3141466_PCOS_GC_3.CEL"
"TMEM201",6.39128972712013,6.50419475300412,6.57484038345523,6.50859328926981,6.60110474985078,6.44063094098638
"PIK3CD",7.14702166059747,6.98234459529598,7.15169602548534,7.2541722379341,7.07754552765706,7.36096662448035
"NMNAT1",6.21724732339065,6.21670779999859,6.34887597425274,6.24308912008126,6.2515810689231,6.37801506170071
"RBP7",6.5223686187185,6.11615731719657,6.25587276500862,6.47288018011146,6.28617864412528,6.42754799202672
"UBE4B",7.69257204099297,7.69555837945004,7.60766695791074,7.91808358215299,7.70536555373545,7.53607638474953
"KIF1B",8.27577062109029,8.18649686678412,8.15177483141389,8.1512555490545,8.1434094945527,8.16017822278224
"PGD",9.4742081107347,9.5442545835454,9.51605302062129,9.08353577932103,9.21561870351595,9.47886961366469
"CENPS-CORT",4.93772422971619,5.04647306972431,5.00942698852779,5.0891374203274,5.07560324702268,4.96159013840306
"PEX14",6.61472160182508,6.7926136893356,6.69182846204282,6.68864152486955,6.73441444428172,6.68493810824852
"TARDBP",7.75966827998732,7.75759342267073,7.69730032669575,7.56765738330082,7.57096378598598,7.58771676484323
"ANGPTL7",5.21509207454845,5.30296555209503,5.21565944194071,5.35026969405711,5.57595150623731,5.20793879689929
"UBIAD1",7.16662335995772,7.67107695355263,7.53460662997219,7.28171537089199,7.41203278149569,7.36134622974706
"DISP3",6.08930970355128,6.22678934059917,6.2227529039706,6.28748911109224,6.28004769963271,6.15403904502916
"FBXO44",6.94637971743309,7.01825664506593,6.96551777498779,7.03403418103518,6.9622311019401,6.88373613328108
"FBXO6",6.9467513752989,7.01314463967826,7.03394364588804,6.91546909161855,6.97391054144528,6.94855467449899
"DRAXIN",6.12483086193433,6.083872856413,6.07762776660079,6.17528879304867,6.3924440665057,6.13410267844178
"AGTRAP",7.32346074749782,7.57730328730224,7.49308640946719,7.48315264318958,7.43474413045377,7.6120999304183
"C1orf167",6.63195325219084,6.70215348222558,6.72170914195803,6.7790701230098,6.80484436418227,6.6699314430488
"CLCN6",7.84310948069606,7.9762573633092,8.01119359956301,7.64634728724654,7.79597900325954,8.09099945071881
"PLOD1",8.67403125396966,9.30426074766237,9.10876927551206,8.52634892433329,8.89792189706718,8.81218469325556
"MFN2",7.76882303598267,8.16325754962329,8.21174516949352,7.83267954190569,7.90726311790169,8.07775017840271
"MIIP",6.82222133820062,7.0637494242782,7.0350251317366,6.89359144713534,6.93035831399078,6.94386140054225
"TNFRSF8",6.2619141581777,6.37502848289172,6.3127328117099,6.37322745591494,6.36206120589197,6.31098252990292
"TNFRSF1B",8.85480781589391,7.87418061200286,7.95667216934071,7.98554308570615,7.76985676716218,8.47846211550761
"VPS13D",7.51325578261162,7.31292334670601,7.34378455195978,7.4582225615776,7.2776944350644,7.47194910078491
"SNORA59B",11.0651456109276,10.7095700862179,10.6763211767288,11.2502411353332,10.9753629304978,10.3985609133452
"AADACL4",4.49706860714089,4.47374229884738,4.79208461482779,4.51702167131507,4.3686833525008,4.62434353493769
"AADACL3",4.63936971137292,4.70912151349888,4.61229665800623,4.50678042142427,4.74712838301553,4.74416128617571
"CFAP107",4.63667190510615,4.8186505075725,4.81537911772868,4.81721402249968,4.94712160973141,4.85565524980135
"PRAMEF12",5.56402540226396,5.67585956497052,5.87263148928208,5.72949504625372,5.79130547808706,5.67105563448323
"PRAMEF1",4.19362416855281,4.25704109901612,4.04697639594687,4.42431603563687,4.33513396733854,4.24668398447805
"PRAMEF2",3.904599533808,4.18790488551893,4.09331544234595,4.24063206780476,4.31363826401403,4.12968477905119
"PRAMEF8",4.38040558031101,4.55379284882456,4.4850783337277,4.67095092887557,4.6212008671336,4.62560956095426
"PRAMEF22",5.2935010647054,5.27973434017701,5.10324639848741,5.28392780689283,5.25095535855947,5.32661549890011
"PRAMEF6",4.61788848826932,4.76607636324314,4.83590006818932,4.62214669772222,4.74144750137272,4.72064199168996
"PRAMEF9",4.4642685810251,4.58996547932979,4.46667492912617,4.62458622030264,4.53335551724413,4.51474703523063
"PRAMEF17",5.02304881318581,5.0417190492838,5.04580080619347,5.25927695715233,5.16712727380311,5.24819467368637
"PRAMEF20",5.08658116264204,5.17747918065029,5.25906938612871,5.03590004566313,5.01470451604953,5.2113611788163
"PRAMEF10",5.09452913500292,5.21155553116442,4.97138378781607,5.17183804667428,5.04929558584362,5.0067988797145
"PDPN",6.42178219434969,6.71751338136504,6.52999250970453,6.25666881517787,6.85484867156664,6.39539838911375
"PRDM2",6.9321963633213,6.57449222941588,6.6054342263814,6.71808517618992,6.72088301160218,6.70177910648518
"KAZN",6.33624014786361,6.55637379185669,6.54084054758627,6.49078499633514,6.52684746705738,6.49923520657233
"TMEM51",5.66029160284718,5.57661080522019,5.33375652738435,5.46744385701219,5.71580943478726,5.68907575922142
"FHAD1",4.92954929410802,4.91982343106955,4.91905761518432,4.93095069651177,5.01073307390745,4.92597694618248
"EFHD2",9.1772504914858,8.91823005188053,9.21103176365437,9.01795738395242,9.2104069199935,9.30405003651145
"CTRC",6.291696720013,6.22455520439844,6.2577540644316,6.47666243874772,6.49699294397903,6.26045926213079
"DNAJC16",6.91423226479147,7.26762320804011,7.23241889072566,7.04715792901094,7.11842075599549,7.15986820100045
"RSC1A1",7.28055217745537,7.26044786402092,7.28107509529436,7.12798752816997,7.21135044171937,7.28806761052883
"PLEKHM2",8.41433985171778,8.5122488113172,8.4137842855653,8.3676967034705,8.54477142323881,8.44558871897773
"SLC25A34",6.90715325370335,6.8828636433041,6.81820305470442,6.88550926005048,6.93080401909905,6.89370910937332
"TMEM82",6.56377855167839,6.753017924538,6.72531193561111,6.74262239205629,6.78832839666808,6.68463976893474
