"","GSM3141461_CON_GC_1.CEL","GSM3141462_CON_GC_2.CEL","GSM3141463_CON_GC_3.CEL","GSM3141464_PCOS_GC_1.CEL","GSM3141465_PCOS_GC_2.CEL","GSM3141466_PCOS_GC_3.CEL"
"2824546_st",12.9889534018719,13.170787459638,13.0746729630038,12.9260200081768,13.1229824096443,13.0372628485123
"2824549_st",12.5136686505866,12.6287138526011,12.5059796605275,12.4883869022298,12.5708861031727,12.3188283459204
"2824551_st",12.5605779447771,12.5413622697927,12.5363855557849,12.4350315962906,12.4199041800333,12.5592530055368
"2824554_st",12.3560170786729,12.5227128662505,12.4676173018837,12.4561422241735,12.252873869363,12.4681276960169
"2827992_st",11.4420720506038,11.1916431758624,11.4372774802054,11.0368733107192,11.0379510004828,11.5054524078476
"2827995_st",11.2734135500898,10.8511069734726,11.118515727478,10.8630332837967,10.6975564210853,11.2129083638694
"2827996_st",11.3952470117991,11.0564966715001,11.192478260167,10.9632549793619,10.9543931564939,11.3580414577987
"2828010_st",9.15879050536059,8.90184173044,9.30491294019843,8.47556305142903,8.20704098440292,9.35592419925992
"2828012_st",9.96814615917389,9.00419401082343,9.69767740188802,9.21535099086537,8.33166581744144,9.86964368075953
"2835442_st",9.63618442689667,9.77648242546968,9.81544318044244,9.70842212878444,9.5949603290314,9.69686020553258
"2835447_st",8.70500330827488,7.58553201497775,8.40680830437359,7.49536904614532,8.00795769866161,8.74332183246013
"2835453_st",11.5422311546105,11.2979734144994,11.4923520651274,11.1912263811625,8.38375210097093,9.01894028332881
"2835456_st",12.1906959785607,12.2403021184206,12.2692924237787,12.0448224935812,12.1411932457247,12.3758632339079
"2835459_st",10.5339244057531,10.8168952282119,10.7742141305722,10.375759970976,10.6221861627593,10.4932731266494
"2835461_st",8.61663641535705,8.84756836371303,8.92708315010225,8.33891233210003,8.80155596123227,8.80323029319177
"2839509_st",10.8471536352366,10.9160807879037,10.7819583798922,11.1678570091823,10.7846143012494,10.7483730413329
"2839511_st",9.61279843663213,9.33936667161236,9.15077175135632,9.403618270907,9.46075891304713,9.50345176239007
"2839513_st",10.6718944459073,10.3795932391753,10.5135230043607,10.3950924591792,10.2956699760836,10.4698342029779
"2839515_st",8.72568800084496,8.9844499852139,8.94303558495662,9.16367751934354,8.86422041099098,8.66062966538006
"2839517_st",10.9333016520746,10.5789301598462,10.7498277390748,10.6356704115247,10.5333921369902,10.7090187118467
"2839524_st",11.2809885671631,11.3828714028954,11.4231253224908,11.3175521011095,11.3579811795241,11.1784920184329
"2839528_st",10.2328879854075,10.8389968249342,10.5668133511513,10.4063271884725,10.7607499898936,10.3065135713097
"2839532_st",7.70051648678382,8.06255565630226,8.2846825494223,7.70167196806708,7.78033898492412,6.71210601896852
"2839538_st",10.2247280433837,10.3766902878372,10.5011407450638,10.0709510624555,9.97676306656707,10.0227729977356
"2839539_st",5.45237653740005,5.48934655039173,6.02729259272076,5.80078326293848,6.04919658786567,5.76410695807062
"2858288_st",13.48796700102,13.6709893435939,13.5874760720789,13.4377535114273,13.6640410417816,13.5279975271736
"2886354_st",11.2054945820668,11.3009308200558,11.1854113503895,10.8109821085373,10.9282798075378,10.9704733990449
"2886356_st",12.4011846100849,12.545216118003,12.3821374721112,12.4642680185476,12.4749004971909,12.3020970074167
"2886364_st",12.2170935313793,12.4200947182573,12.3077174622514,12.3622333358264,12.3753206001948,12.1654727726276
"2886370_st",11.7100936910118,11.9142646789291,11.720248991031,11.5855154912484,11.7799290429255,11.6203776525316
"2891949_st",10.1043948509897,9.94204193806839,10.1594648721436,9.50946704159575,10.0020101090418,10.0416743017498
"2891951_st",10.2449519123541,10.0358654884236,10.2166849467222,10.0040437046249,9.84233588183839,10.3344476651936
"2891953_st",12.6543654093524,12.9128456569751,12.9400108159701,12.776126172088,12.6862838902179,12.8860886903861
"2891956_st",11.6797838736862,11.8846979021239,11.9823973560388,11.7852400248559,11.7055050753145,11.8919774231683
"2909142_st",12.635456126727,12.6104507110257,12.5595789011575,12.4841963155615,12.8846337359159,12.5781000730751
"2909145_st",8.15571753906685,8.38949970749096,8.35686744933464,7.64273334858294,8.60737125753409,8.45879374789753
"2909154_st",8.8983829187225,8.48922340003675,8.39379543521312,8.12590109760652,8.47577828505153,8.43675762596838
"2909160_st",7.49727492336379,7.95813353379882,7.62335284420026,6.65121057101257,6.75503534924065,7.23851048579741
"2909162_st",7.13111340871658,7.31751272504078,7.48390498290035,6.9716707858107,6.6889878717985,7.66422967606915
"2909164_st",6.23861622451932,6.69131642823748,6.51849949683879,5.10898723223927,6.65121057101257,4.70105528641032
"2909166_st",7.20141562773419,7.41653916363416,7.52756355252964,7.06441298670098,7.18993392666962,7.15830068581046
"2909167_st",9.57335256309273,9.56226354615976,9.31290806245981,9.27420978446493,9.25937701676444,9.26094556163111
"2909168_st",9.06880801381032,9.8358047314467,9.62085103003539,8.68186292330333,9.31743764223513,9.48987016931222
"2909172_st",7.30388180984323,7.72799577477878,7.5210329469865,7.25277013883109,7.21766115023749,7.23851048579741
"2909174_st",8.93470638452385,9.57303691402057,9.24637103532628,9.03711971492999,9.20419061801724,9.10680998122325
"2909175_st",8.42561204640291,9.39876734848874,9.11333690900754,8.88674644912689,9.00985959337414,8.54049385623985
"2909177_st",9.47879199954399,10.475069072691,10.0640839969852,9.71969296145069,9.58779826770923,9.54787983963821
"2909181_st",7.11212045440763,8.00662193771832,7.98115473515227,7.33548922624419,7.63549613472647,7.64873675010248
"2909183_st",11.1260662607074,11.5485864489189,11.4123992827816,10.7646043648139,11.1260662607074,11.2981643979123
"2909185_st",9.61196734845206,9.88622150677127,9.9381256037039,9.26954220678455,9.72765571226568,9.58184908712693
"2909190_st",7.25277013883109,7.66778146222715,8.05624608906526,6.54449159503565,6.78586962664472,7.60864467626043
"2909191_st",8.12245393274282,8.4696868611133,8.4457504329897,7.70167196806708,8.20462527307286,8.04445460408499
"2909193_st",8.75659324298238,8.99956149416396,9.25308572774079,8.67834567789436,8.9858734323253,9.37107469239701
"2909195_st",8.62148195852096,8.7922840479453,8.49988999774183,8.21194214953587,8.30230869982407,8.88216737588733
"2909197_st",8.22726809069199,8.54436328782871,8.61536382208206,8.15571753906685,7.99063952968513,8.862671660701
"2909199_st",8.38519115072319,7.82661883052107,8.44988212834747,7.6701444710713,7.65471527351051,8.1632860511739
"2912049_st",10.9081078824643,10.9715927750623,10.8480496356757,10.4438795377472,10.9429225119866,10.854148339409
"2912056_st",12.0402364244879,12.195101973454,12.1112406428232,11.8806081389572,12.0893989701296,12.0196810445411
