"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"CKMT2",-0.580340616721259,3.89206442060208,-6.79263459149062,3.7494913042706e-09,1.32380975963971e-06,10.745090571015,"No"
"LDHD",-0.51938267670653,4.67458222084247,-6.78645912712402,3.84520809842899e-09,1.32932048302772e-06,10.7210614096388,"No"
"MACIR",-0.369782170772169,4.57256929863043,-6.77683249072648,3.99928711194809e-09,1.33732384345142e-06,10.6836098098635,"No"
"MFSD4A",-1.78501281451982,5.28682554677139,-6.77498571706899,4.02954032617639e-09,1.33732384345142e-06,10.676425981314,"Downregulated"
"MIR4435-2HG",0.750851781202936,4.54571419898473,6.73750477156223,4.69518743992313e-09,1.52768510545263e-06,10.5306903307099,"No"
"KLC1",0.55739811408734,5.58140292811915,6.73083658896281,4.82458519613462e-09,1.53959936047419e-06,10.504775464877,"No"
"COL12A1",2.22724557521113,6.4231940483877,6.72457552516831,4.94930916904686e-09,1.54960068587101e-06,10.4804463798225,"Upregulated"
"GABRB3",-0.445484986491026,4.05774201698388,-6.70782107389583,5.29906359097639e-09,1.6283826153456e-06,10.4153595778191,"No"
"THBS2",1.91978231495812,6.77687049585679,6.69003721715431,5.69722588034125e-09,1.69821562157764e-06,10.3463016522502,"Upregulated"
"ATP1B3",1.14160939104335,5.56506623465883,6.68428584780803,5.83225341569785e-09,1.69821562157764e-06,10.3239742771341,"Upregulated"
"MYOF",1.29488368513761,6.48732222482767,6.68424049430318,5.83333074785617e-09,1.69821562157764e-06,10.3237982226223,"Upregulated"
"THBS1",1.85419913278791,8.19894775223028,6.67267051417191,6.11473044786426e-09,1.74944546641137e-06,10.2788918260611,"Upregulated"
"KPNA2",1.19393242038815,6.62717923423628,6.63933711869023,7.0031599782376e-09,1.96966841828601e-06,10.149586460132,"Upregulated"
"MIR642A",-0.643185234562351,4.36026746656154,-6.63043157090457,7.26150498211537e-09,1.98159516557608e-06,10.1150586729852,"No"
"IRX3",-0.669102073241714,4.53506006091595,-6.62965765508172,7.28439828252024e-09,1.98159516557608e-06,10.1120584842917,"No"
"SULF2",1.22524346595923,6.54878189085416,6.61113753773446,7.85416211867266e-09,2.10212848705248e-06,10.0402804856182,"Upregulated"
"PLEKHG1",0.925796498796724,5.17699983270634,6.60611286940351,8.01624077123848e-09,2.11145237076082e-06,10.0208124104109,"No"
"ADAM17",0.870811103575208,5.37824971556002,6.59447996581872,8.40434754641798e-09,2.16916003711209e-06,9.97575054108039,"No"
"APLP1",-0.710156784266482,4.58251221390181,-6.59178849577799,8.49677006220837e-09,2.16916003711209e-06,9.96532667617121,"No"
"PDIA2",-0.615337644688901,4.55998687344,-6.56381839630337,9.51909751907903e-09,2.36480650081221e-06,9.85704487769958,"No"
"PTPN12",1.04150635348735,6.09560708590704,6.56306784691233,9.54815207631781e-09,2.36480650081221e-06,9.85414037102008,"Upregulated"
"ITGB1",1.10727393041947,8.03808950609731,6.54487865408703,1.02798556974324e-08,2.46445563353339e-06,9.78376936840683,"Upregulated"
"LIPF",-4.75504158918474,5.72881035704016,-6.54233355261873,1.03865862169451e-08,2.46445563353339e-06,9.77392560819138,"Downregulated"
"GPER1",-0.715531070545685,4.63743959480757,-6.54210936186758,1.0396040396971e-08,2.46445563353339e-06,9.77305853274824,"No"
"AZGP1P1",-0.561780835272566,4.23519119022909,-6.53749575459107,1.05925067784115e-08,2.47459926010868e-06,9.75521624582259,"No"
"OSMR",1.31057616455272,6.15027581741266,6.53415467023296,1.07370824832967e-08,2.47459926010868e-06,9.7422966469826,"Upregulated"
"LUM",1.51557368358213,5.68506486468496,6.52942724186851,1.09450033156792e-08,2.48796417836137e-06,9.72401828232826,"Upregulated"
"ALDH3A1",-0.719199356548617,4.96501198649083,-6.506756553451,1.19990355542618e-08,2.69070264847864e-06,9.63639726600094,"No"
"FRMD1",-0.450044498747336,4.13973628174754,-6.48841727169068,1.29249743205698e-08,2.79259040523415e-06,9.56555876239592,"No"
"DNMT1",0.64326124442458,5.95269747361481,6.48789234660056,1.29524968076831e-08,2.79259040523415e-06,9.56353171094176,"No"
"FN1",1.8135885909029,8.07233291774851,6.48649131102383,1.30262401932568e-08,2.79259040523415e-06,9.55812162314903,"Upregulated"
"VCAN",1.8812311818689,6.70560233398306,6.48459804603443,1.31265548757541e-08,2.79259040523415e-06,9.55081114974321,"Upregulated"
"MIR4284",-0.681476006639716,3.73723955831007,-6.47988184319392,1.33797913018477e-08,2.81043363117544e-06,9.53260222808889,"No"
"SPTAN1",0.786255776533738,6.6606727580302,6.46780840036775,1.40503983044263e-08,2.91440386829563e-06,9.485999143474,"No"
"COL3A1",1.92973511595816,8.30086302434518,6.46237613678745,1.43629144425321e-08,2.94244694147379e-06,9.46503627445821,"Upregulated"
"MIR4673",-0.649040643610912,5.39389942026667,-6.45386070759311,1.48667494524473e-08,2.97745947280079e-06,9.43218251104653,"No"
