"","Control1","Control10","Control11","Control12","Control13","Control14","Control15","Control16","Control17","Control2","Control3","Control4","Control5","Control6","Control7","Control8","Control9","PCOS1","PCOS10","PCOS11","PCOS12","PCOS13","PCOS14","PCOS15","PCOS16","PCOS17","PCOS18","PCOS19","PCOS2","PCOS20","PCOS21","PCOS22","PCOS23","PCOS3","PCOS4","PCOS5","PCOS6","PCOS7","PCOS8","PCOS9"
"AADACL2-AS1",6.38964139860517,5.99556384112928,5.99556384112928,6.15783180053451,5.99556384112928,5.99556384112928,6.22837119855008,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,6.25106119194325,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,6.25033097662756,5.99556384112928,6.34912770855445,5.99556384112928,6.17863957715849,5.99556384112928,6.3512363094111,5.99556384112928,5.99556384112928,5.99556384112928,6.33425820063392,5.99556384112928,5.99556384112928,5.99556384112928,6.33281831793046,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928
"AADACL4",5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,6.18334529224146,5.99556384112928,6.67132364232203,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,6.34912770855445,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,6.16788779351302,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,6.3014488555972,5.99556384112928,6.18477076998636,5.99556384112928,5.99556384112928,5.99556384112928
"AADAT",7.85132815270037,7.60771281695724,7.72187052353422,7.44780214284023,7.3231926933517,7.23188069073733,7.10944654925853,6.94288218815236,7.40822170537157,6.92352422710476,6.70634403199342,7.22438109536611,7.45719916566608,7.43229028938109,7.08694029000724,7.05147352775324,7.27261959361612,7.09523236948566,7.25516741675156,7.08999884231766,7.28781972795842,7.45437687820983,7.18645592513195,7.36936282167904,7.33522378531559,7.0083801567908,7.62001246965738,7.23826846965242,7.16986204515646,7.20242566635564,7.21160593403195,7.39405433762551,7.18292939113954,7.16326520737685,6.91611328822278,7.17661225136998,7.36094365333018,7.1281366802576,7.20420007036471,7.37820145454912
"AAGAB",10.5283532174079,11.3839818661835,10.8856716805777,10.7699630460845,11.2600602460228,11.3373763001079,10.6907321252751,11.2234395072204,10.885696362634,10.7186588554701,11.0022020638043,11.1100561798695,10.6018788823038,10.9656125352506,11.6029499030845,10.9201515889516,10.9416912822928,11.2514648053715,10.8001790456227,10.8334817602834,10.8105621718938,11.026930501686,11.0816356531678,11.1450429945982,10.9247185019924,11.0277631670649,10.9373657945838,11.1115934928775,10.7726217776016,11.4590111534986,10.7756934952638,11.0441486549675,11.2335427491982,10.8703548319706,10.8629503718701,11.0603484716003,11.0113986861593,11.0888825349335,10.7140804048155,10.5388236526059
"AAK1",11.2012286577763,10.8955961123278,11.3205022345527,11.3626716287791,11.2791611297215,10.9272633740413,11.3155338768313,11.5182209583609,11.29679617315,11.5131564522761,11.8338816448413,11.7045623307829,11.0905146751838,11.6407396870357,11.6543056726256,11.5451680944023,10.9219722496164,11.7308791122049,11.4069781113097,11.3673641063426,11.5375344785629,11.5945024628461,11.4266599347688,11.7806688972572,11.6003513729034,11.1346599393228,11.1999023339563,11.9132892485501,11.4371320798829,11.1564359787301,10.1011328638986,10.9817383205611,11.0903536305356,11.6235185011927,11.5002131370117,11.5061092845346,11.5024052468661,11.1137649909961,11.3792055803534,11.3570201876686
"AAMDC",9.31324350807103,9.93680563710572,9.71032618889512,9.34381442341218,9.74898614555316,10.3200449453602,9.30839873637231,10.1799759317668,9.3424234334033,9.65546414524789,9.66504493156871,9.51364848476313,9.86990006186016,9.79253920770705,9.86704765687991,9.3626242160888,9.67598344018194,9.85508530708915,9.39763259718352,9.14019334361611,9.38312607175925,9.20674267280627,9.14862598437465,9.40927980651662,10.0553250125107,9.38441014854637,9.95368598723946,9.17504423692142,9.59617010040215,10.3185919567374,10.0124473848583,10.188602687707,9.98108619706279,9.73731341247517,9.9042766084765,9.35632301380405,9.76343531416797,9.35722819205585,10.3518312553851,9.68992192925824
"AAMP",11.9447130989598,12.1738373857419,12.3226410509901,12.1028454126692,12.4204388614419,12.5492766110384,12.1421005079032,12.5378615810143,12.2046765523734,12.2179029465081,12.1260672810215,12.5186619610959,12.003596827706,12.1362056347153,12.4790785234604,12.1900931241506,12.5196197458293,12.1848887530643,12.0431095573953,12.0494533021234,11.9969504271879,12.3247345181036,12.3339793268451,11.9914963029488,12.3563714746731,12.4066027116129,12.2034472380546,12.0879705799661,12.206840363852,12.5830440225052,12.3132352488841,12.3940522277424,12.0956515880953,11.8334057730789,12.4536341738676,12.1947221777874,12.2930060327322,12.1984346354608,12.1229724096869,12.1598551584728
"AANAT",5.99556384112928,6.85912063744308,6.29339879363553,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,6.22264745453724,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,6.30738685121173,5.99556384112928,5.99556384112928,6.2820882164565,6.17863957715849,6.16869997649817,6.17373752429522,6.17773711190091,5.99556384112928,6.24231588544577,6.16520244128244,5.99556384112928,5.99556384112928,6.16282402874893,6.47144014089065,5.99556384112928,6.23061124647466,6.17238691592152,6.67071286931429,6.37317018025756,6.4421742657625,5.99556384112928,5.99556384112928
"AAR2",10.8901517093679,11.3550724459821,11.4866587121802,11.6901261866515,11.776351535851,11.6668594513578,11.7056163920171,12.269560119623,11.5204691545561,11.658479098921,12.150579752375,12.1755274921019,11.2889835993474,12.1034798513305,12.3960032504823,11.7832438712426,11.9698252109154,12.2805607396678,11.8055666413366,11.6545138129705,11.7740653075091,11.7807335140724,12.0347428110527,11.8550562118467,12.3959092157117,11.7657254615463,11.6406574164071,12.028202382412,11.636639805543,11.9233600349397,11.2102375120178,11.9475053646491,11.6753800143705,11.7956634199072,11.9437231834765,12.0088057662853,12.1103271876692,11.8458852782651,11.9697617427005,11.7818725034671
"AARD",6.19306150936056,5.99556384112928,6.37961528003567,7.09368077544178,6.31602908706146,6.97121310004003,7.40375258708427,7.52964303370262,7.42731292137012,6.87736812201898,6.9140008441751,6.50458224611094,6.77809187449271,7.38076086592937,6.76528391288608,7.29075210075705,6.52148724932669,8.18050409553891,6.90784207956242,6.77849374886418,6.78050098104604,6.99543861802346,7.29328073167338,7.58623839401044,7.64348118103979,7.34106065809997,6.82201429087763,6.96684113328222,7.25680547617585,6.9281121834844,6.46681423800131,7.05387599162716,6.78857383387546,7.79542327464393,7.23315442893821,7.4399431992172,6.78884485792965,7.1281366802576,7.34611186601364,6.93799798814046
