"","Control1","Control10","Control11","Control12","Control13","Control14","Control15","Control16","Control17","Control2","Control3","Control4","Control5","Control6","Control7","Control8","Control9","PCOS1","PCOS10","PCOS11","PCOS12","PCOS13","PCOS14","PCOS15","PCOS16","PCOS17","PCOS18","PCOS19","PCOS2","PCOS20","PCOS21","PCOS22","PCOS23","PCOS3","PCOS4","PCOS5","PCOS6","PCOS7","PCOS8","PCOS9"
"A1BG",393.997483223459,741.850234242932,644.931616672181,441.175583982951,911.45913912305,843.240333917732,578.609969646561,1216.53543081518,410.960210613002,626.532190164304,775.551048340759,799.523792298781,444.693298383733,1309.12368749916,1212.07520772205,367.392123529996,701.099990197365,676.25469664324,364.524281214758,374.535858950549,459.533366025644,354.943206552535,532.685222432561,410.219804118667,1489.32386885795,622.407051602917,433.138154509856,597.024098461291,890.425577724688,1553.47986460486,625.885028748886,636.593480451188,1341.74520688008,337.769099063784,746.614723854577,664.626914845713,480.256646152562,535.333258302731,691.881574700301,558.342536977019
"A1BG-AS1",343.699932173656,319.407739743485,269.252127693886,365.222278315556,410.946895095941,402.677027236709,417.09869754378,367.495078058751,388.561905295232,383.386703574378,520.275624905713,595.880969417159,439.035622831777,749.259980126704,779.972584030523,293.180746956605,324.830294371334,418.918838628555,278.80926935289,264.774707484322,425.026281763645,331.280326115699,465.52456399115,247.496033838816,454.335462045584,429.217278500797,332.103768576672,369.16578869352,430.174895277434,516.512340769635,279.888229591409,488.60957646735,347.17348354816,233.38317146367,704.389726618586,506.422271387476,305.51795796433,464.014189351216,594.849402638673,528.1881490915
"A2M",1746.04355787174,235.508010870772,47.3010494597368,21.0083611420453,97.9950288305707,42.2161399522356,39.9615518604819,20.5923966153611,225.930731900987,176.667507110284,106.972558391829,103.326161363582,107.495835487162,101.982608406135,64.5419108805061,32.9828340326181,14.288722626305,14.961387093877,33.909235461838,18.2935252443713,12.6245430226825,120.372043961294,169.281659633145,73.0795375508314,22.4111662892441,48.7174210431433,40.2266536585828,19.4297783522905,40.1010495597608,56.5140729086369,18.8881627331626,14.0103104363398,122.313789577466,25.4599823414913,46.0636333483544,16.7412321119827,59.3452148563806,19.3706113201646,24.2580430154069,28.2089435058076
"A2M-AS1",13.1731681320913,0,0,9.69616668094397,5.26854993712746,2.1649302539608,19.980775930241,0,17.5291085095593,4.55328626572896,2.4311945089052,1.0031666151804,0,3.12191658386127,0,3.66475933695756,0,19.9485161251693,9.41923207273277,0,25.249086045365,0,3.68003607898142,9.74393834011085,1.01868937678382,15.119199634079,1.87100714691083,14.1307478925749,24.6074622298532,2.62856153063427,3.43421140602956,5.25386641362742,0,33.0979770439386,21.1124986179958,29.2971561959697,3.29695638091003,7.9243409946128,8.43758017927196,14.5908328478315
"A2ML1",10.7780466535293,0,10.0059912318674,2.42404167023599,0,9.74218614282361,4.16266165213353,6.33612203549571,0.973839361642185,0,0,11.0348327669844,11.3153511039118,0,0,0,11.430978101044,0.997425806258465,0,9.62817118124806,7.57472581360951,2.05764177711614,10.1200992171989,0,11.205583144622,0.839955535226609,26.1941000567516,4.41585871642966,0,0,5.15131710904433,0,9.88394259211845,11.0326590146462,0,2.5111848167974,1.09898546030334,10.5657879928171,5.27348761204497,0
"A3GALT2",25.1487755249017,0,0.9096355665334,0.808013890078664,1.05370998742549,0,1.66506466085341,0,0.973839361642185,0.910657253145791,1.2155972544526,1.0031666151804,0,8.32511089029671,2.18786138577987,0.916189834239391,0,0,32.9673122545647,2.88845135437442,0,1.02882088855807,0,0,4.07475750713528,0,2.80651072036624,6.18220220300153,0.911387489994563,0,0,0,0,0,0,0.837061605599134,5.49492730151673,0.880482332734755,0,0
"A4GALT",126.941438363789,4305.3808237313,1107.02648447115,484.808334047199,1163.29582611774,867.054566711301,1333.71679334358,887.057084969399,879.376943562893,448.043368547729,998.005345905585,1190.75877221914,1069.30067931966,1056.2484442064,1713.09546506564,875.877481532858,1183.10623345805,793.950941781738,1074.73437949881,611.388870009251,670.784052605198,542.188608270104,520.725105175871,748.334464520513,1180.66098769245,725.72158243579,520.13998684121,423.039265033962,809.312091115172,1331.36641526626,417.256685832591,837.116048571301,895.732297410734,975.117323679116,1770.57090682737,751.681321828023,687.964898149894,562.628210617509,425.043101530825,317.107433892871
"AAAS",936.492498117767,864.020014882145,662.214692436315,475.920181256333,720.737631399036,828.085822140007,556.964129055467,546.490525561505,604.754243579797,532.734493090288,776.766645595211,709.238796932545,734.366286643875,708.675064536508,439.760138541753,466.34062562785,692.526756621582,580.501819242427,592.469697374891,652.790006088618,468.791364242278,847.748412171851,532.685222432561,477.452978665432,600.00804292567,505.653232206418,878.437855474633,465.431508711687,506.731444436977,825.368320619162,770.121907802128,553.407262235421,738.824708760854,654.321546176326,615.141437006149,585.943123919394,738.518229323848,606.652327254246,618.052748131671,688.687310417647
"AACS",1057.44613278515,2003.2900174695,1320.7908426065,1992.56225293399,1297.11699452078,2077.25057867539,1939.80032989423,2596.22600404437,1942.80952647616,1599.11413652401,1650.78107154663,1092.44844393146,1936.05657387931,2817.00939750415,3100.19958365007,2190.60989366638,2283.33787568354,3068.08178005104,1557.94098483,1372.97721044597,1594.90060186556,3045.30983013189,1721.33687594356,1467.43711402069,2665.91009904326,1727.78853596113,986.020766422006,1563.2139856161,1978.6222407782,1477.25158021646,1324.7470498759,2784.54919922253,1202.13451776641,2923.65463888125,2137.16065555803,2232.44330213289,1486.92732779043,1978.443801655,1404.85709984878,1796.61788466299
"AADAC",4046.5577380306,1151.0454031309,2315.93215239404,7529.88144164307,11373.7456042708,3538.57850009893,5945.11337157711,7063.19203906884,25042.2791846288,8390.79593048532,9013.65364176603,3281.3579982551,8266.99551651795,6447.7983845348,2624.33973224295,7681.33557026306,2898.70553012307,7392.92007598774,5011.03146269383,5282.01471003268,8830.44702626567,4476.39968611617,6800.70667395766,20908.5428902099,9655.13791315705,1847.90217749854,6415.68350675722,13207.8334208411,6531.00275330104,625.597644290957,1631.25041786404,13837.8084890923,8490.30668662975,9563.61803354217,7447.91371701205,10299.2059952917,7126.92071006719,8971.23448823442,4142.85186802253,4591.24873611765
"AADACL2-AS1",4.79024295712413,0,0,0.808013890078664,0,0,1.66506466085341,0,0,0,0,2.00633323036081,0,0,0,0,0,1.99485161251693,0,3.85126847249922,0,1.02882088855807,0,3.89757533604434,0,0,0,3.53268697314373,0,0,0,3.50257760908494,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,1.0824651269804,0,14.2562745798653,0,0,0,0,0,0,0,0,0,0,0,3.85126847249922,0,0,0,0,0,0,0,0,0.911387489994563,0,0,0,0,0,2.87897708427215,0,1.09898546030334,0,0,0
"AADAT",120.953634667384,88.3155040765395,102.788819018274,70.2972084368438,57.954049308402,49.7933958410984,39.9615518604819,28.5125491597307,66.2210765916686,27.3197175943737,15.8027643078838,49.1551641438398,71.2867119546442,68.6821648449479,38.2875742511477,35.7314035353362,53.3445644715387,38.8996064440801,51.8057764000302,38.5126847249922,54.7063530982909,70.9886413105069,46.0004509872677,62.3612053767094,59.0839838534616,32.7582658738377,89.8083430517197,50.3407893672982,44.6579870097336,47.3141075514169,48.0789596844138,64.7976857680715,45.7132344885478,44.1306360585849,26.8704527865401,45.2013267023533,61.5431857769873,41.3826696385335,47.4613885084048,63.2269423406032
"AAGAB",1352.04607464828,2546.43036754022,1766.51227020786,1620.8758634978,2326.59165223548,2461.52569875343,1527.69682633301,2265.16362768972,1766.54460201892,1559.95587463874,1925.50605105292,2084.58022634488,1429.12884442406,1874.19058917805,2984.24293020374,1812.22349212552,1841.3400557765,2312.03301890712,1657.78484480097,1699.37221349028,1670.64786000165,1960.93261359168,2041.50001481494,2138.79446565433,1818.36053755912,1962.13613028936,1835.45801111952,2086.93482938466,1624.09250717031,2689.01844583886,1627.81620645801,1985.96150435116,2281.95524595535,1746.5547886263,1736.9828408442,2009.78491504352,1938.6103519751,2052.40431760471,1554.62414803086,1362.78378798746
"AAK1",2228.660535802,1779.55740714227,2431.45586934378,2507.2671009141,2359.25666184567,1821.78880870802,2422.66908154172,2806.9020617246,2389.80179346992,2796.62842441073,3524.01644065809,3211.13633519247,2054.86776047038,3066.76272421305,3096.9177915714,2862.17704216386,1814.66777354073,3272.55407033402,2589.34689679424,2515.84112966012,2846.41363351415,2966.09062171292,2626.62575137299,3391.86493619259,2978.64773771589,2122.56763751764,2226.49850482388,3730.51744363978,2646.66927094421,2156.73473588542,974.457486460886,1896.6457753195,2054.62456633662,3028.88923255941,2770.5356140979,2782.39277701152,2774.93828726595,2090.26505791231,2537.60223891604,2496.9778613589
"AAMDC",514.951117890844,856.660389542433,714.973555295253,528.441084111447,737.596991197844,1153.90782536111,512.839915542851,1035.95595280355,527.820934010064,683.903597112489,689.243643274624,608.922135414505,812.442209260866,763.828924184723,810.602643431441,536.887242864283,695.384501146843,802.927774038065,552.908922669414,443.858691455535,546.221894781397,470.171146071039,447.124383596243,558.327666888352,940.250294771466,546.811053432522,868.147316166623,457.482963022113,651.642055346113,1152.62423118313,909.207469746325,1042.89248310504,887.083847642631,730.701493200799,834.903354438923,534.045304372248,746.211127545971,534.452775969996,1182.31592262048,703.278143265478
"AAMP",3815.42851534937,4493.78723242792,4995.71853140143,4271.9694368459,5354.95415609635,5866.96098823377,4393.27310766173,5819.72808960281,4593.60026886619,4637.06673301837,4343.32899015914,5741.12253867745,3979.60898324577,4374.84577285092,5582.32832581733,4546.13395749586,5745.01907728303,4529.31058621969,4093.59825880966,4112.19191151104,3960.73996431626,5003.1559810579,5036.12937408607,3945.32063391088,5116.87673958513,5302.63929388558,4589.58053137226,4226.85996336648,4600.68404949255,6008.89165902995,4962.43548171271,5255.61770243196,4250.09531461093,3522.81288998434,5482.53202748226,4561.14868890968,4891.58428381019,4573.22523622432,4333.75211957856,4449.23129639875
"AANAT",0,23.5508010870772,2.7289066996002,0,0,0,0,1.58403050887393,0,0,0,0,0,0,0,0,0,2.9922774187754,0,0,2.5249086045365,1.02882088855807,0.920009019745355,0.974393834011085,1.01868937678382,0,1.87100714691083,0.883171743285933,0,0,0.858552851507389,7.00515521816989,0,1.69733215609942,0.959659028090716,14.2300472951853,4.39594184121338,6.16337632914329,0,0
"AAR2",1772.38989413593,2493.4410650943,2743.46086866474,3177.91862967939,3381.3553496484,3125.07682159242,3213.57479544709,4810.70065545012,2811.47423706099,3106.25189048029,4419.91161718965,4499.20226908411,2376.22373182147,4273.90380330608,5262.90056349347,3398.1480951939,3884.62739133812,4848.4868442224,3453.09047786383,3097.3826690075,3375.80280426531,3392.02246957596,4069.19989433371,3577.9741584887,5262.54932046522,3355.6223632303,3066.58071378684,4050.22561470929,3057.70502893176,3757.5287080417,2243.39860098881,3823.06346031622,3144.32923711768,3428.61095532082,3812.72531860442,3994.45798191907,4294.83517886547,3554.50717725021,3884.45097503233,3394.80044259546
"AARD",1.19756073928103,0,4.548177832667,38.7846667237759,3.16112996227647,30.3090235554512,65.7700541037099,79.2015254436964,68.1687553149529,24.5877458349364,26.7431395979572,8.02533292144322,19.23609687665,63.4789705385124,18.5968217791289,54.9713900543635,8.573233575783,176.544367707748,26.3738498036518,19.2563423624961,19.3576326347799,31.8934475453002,55.2005411847213,85.7466573929755,92.7007332873277,59.6368430010892,21.5165821894745,30.0278392717217,51.9490869296901,27.5998960716599,6.86842281205911,35.9014204931207,19.7678851842369,112.872588380611,49.9022694607173,69.4761132647282,19.7817382854602,41.3826696385335,60.1177587773127,28.2089435058076
"AARS1",1849.03378144991,2157.84214960345,1624.60912182865,3232.86357420474,2401.40506134269,2051.27141562786,6922.50632749807,3404.08156357007,4925.67949118617,3967.73365195621,5482.34361758123,3629.4568137227,2501.8241290749,5483.12616012167,3015.96692029755,3540.15751950101,2277.62238663302,5598.55105052877,2270.97685273587,3324.60750888495,4597.85856886097,3071.03035234584,3241.19177656289,4160.66167122733,2989.85332086051,3324.54400842692,1981.39656857857,4512.12443644783,3078.66694120163,1671.7651334834,1535.95105134672,3083.14394039702,4970.38763101156,4395.24161821944,3592.00374214355,4635.64717180801,2577.12090441134,1841.96904008111,5396.88722216683,2629.26807917924
"AARS2",616.743780729731,528.421099391295,483.016485829236,466.224014575389,653.300192203804,566.12926141075,613.576327524483,486.297366224296,538.533166988128,429.830223484814,688.028046020172,352.111481928321,393.77421841613,652.480566027005,549.153207830747,481.91585280992,567.738579018519,642.342219230452,678.18470923676,700.930861994858,528.547534549641,527.785115830291,387.323797312794,456.990708151199,457.391530175935,391.4192794156,611.81933703984,439.819528156395,460.250682447254,399.54135265641,480.789596844138,462.340244399213,583.152612934988,605.947579727492,479.829514045358,531.53411955545,507.731282660145,611.05473891792,463.012212337549,751.91425275825
"AASDH",273.043848556075,448.937145722409,177.378935474013,225.435875331947,218.117967397077,202.420978745335,270.57300738868,177.41141699388,205.480105306501,178.488821616575,193.279963457963,243.769487488838,209.333995422368,304.907186357117,242.852613821565,242.790306073439,205.757605818792,207.464567701761,252.435419549238,273.440061547445,268.481948282382,289.098669684818,289.802841219787,226.059369490572,205.775254110332,220.068350229371,205.810786160191,212.84439013191,212.353285168733,161.656534134008,247.263221234128,191.766124097401,185.323923602221,293.638463005199,247.592029247405,267.859713791723,311.012885265847,209.554795190872,258.400892990204,270.41676877981
