"","GSM2595136_NL_1.CEL","GSM2595137_NL_2.CEL","GSM2595138_NL_3.CEL","GSM2595139_NL_4.CEL","GSM2595140_PCOS_1.CEL","GSM2595141_PCOS_2.CEL","GSM2595142_PCOS_3.CEL","GSM2595143_PCOS_4.CEL"
"1552263_at",7.93977178440309,8.06663404680013,7.63646533445559,8.14752223805487,8.10102513155907,7.96994474947586,7.69447947712685,8.13825200019045
"1552264_a_at",8.15544789286844,8.20086074174225,8.03932217544013,8.14678488833384,8.23950946795661,8.23020573007638,8.14804914156442,8.31347359426792
"1552266_at",3.53699856059706,3.63239470366033,3.80250025571528,4.17580669838241,3.57867059018781,4.34077846539814,3.61850476803944,4.00019653152607
"1552269_at",4.65774142237442,4.64143471445951,4.31440989972793,4.27994415762542,4.25135590734935,4.4906767845063,4.4016134933173,4.77874879956789
"1552271_at",6.57989464752499,6.17453233671122,6.48658497557949,6.25556371417904,6.69173665758121,6.16929664606393,6.59271575059093,6.28001633225153
"1552272_a_at",6.23416282020427,5.8170893519505,6.17183755107542,5.91489108731228,5.9750647180647,6.0285323960808,6.03470016607709,6.01551800009744
"1552274_at",7.98864278312135,8.06679164525847,7.52426123733855,7.75489646727023,7.46792424971879,8.20758242293369,7.63744621090955,7.72362804444906
"1552275_s_at",7.95212485022961,7.93302801247204,7.40926912143619,7.84591442534724,7.34979931681428,8.01731657333747,7.85159072897136,7.99342225109572
"1552276_a_at",6.81471487708388,6.68814228880254,6.925773207491,6.42908608014363,6.7956311052653,6.69827708748688,6.72223675484748,6.77309192847029
"1552277_a_at",10.7275191792462,10.9477755866506,11.0347639544877,10.8811273493026,11.2010691782089,10.8455606106583,10.9653803836851,11.0620727544221
"1552278_a_at",6.8546586961074,6.78990312733291,6.62997581876824,6.03494144069477,6.02314786388441,5.95907807723976,6.57942290510447,6.18214178521197
"1552279_a_at",7.16267667031603,7.11145591167325,7.08694095988379,6.97983400632114,7.12871981273122,7.05825711675678,7.1690028027188,7.05070836419705
"1552280_at",4.62983260476674,4.91773228931021,4.54812868566656,4.68064453280337,4.92337721016968,4.70253224180533,4.96384755253716,4.51170233646521
"1552281_at",7.79703461366677,7.82745324605849,8.1047577395197,7.71254718130918,7.86478716234562,7.58190678088916,7.89509042980536,7.48434780587
"1552283_s_at",5.06503061063806,4.67759761175278,5.09195952433753,4.79326873800295,4.71827783854996,5.0809197966016,4.80629455438959,4.97528366608244
"1552286_at",8.06732913190582,7.88486930082207,7.59506150418085,7.6104653229487,7.48125550681519,7.87171080687438,7.62851178737668,7.89563923927318
"1552287_s_at",6.18872284224434,6.00218150118881,5.41099756421703,6.55139712464177,4.92558123051453,6.92986068540561,6.26257004342259,7.10829684774104
"1552288_at",5.40559233575161,4.8856338847106,5.46958938697188,5.24049844116863,5.14205382426467,4.980745144045,5.44370753181568,4.92421570881799
"1552289_a_at",5.67425074560012,5.57594437056991,6.06381916962731,5.63555188953272,5.80785090076679,5.46784231752042,6.03494457388936,5.67921444814805
"1552291_at",7.34516667893942,7.46125705646931,7.26685854637037,7.80204685813845,6.87053001532148,7.75005932997718,6.80070695406482,7.57069474268541
"1552293_at",5.39257576756776,5.4027446214855,5.60153952914598,5.67268019310707,5.50736173219865,5.45026623030021,5.64512426437741,4.81143444997551
"1552295_a_at",8.92564386642415,8.88423112785588,8.93610806468791,8.69859841880263,8.89180996675328,8.51163576411503,9.09506519830781,8.60558446731447
"1552296_at",4.68145366676041,4.37767746369043,4.82803254718132,4.38298254128854,4.71927782696385,4.57272057568491,4.93711231407439,4.68241602209624
"1552299_at",5.01859300738648,5.09561327716314,5.11457623367828,5.1317050382174,5.16040043536981,5.26800308524557,4.40463436717868,5.00016070057961
"1552301_a_at",6.8782971977993,6.56423800873377,6.56830503576656,6.44461981036695,6.59281947432293,6.5082527439866,6.49990560808842,6.29905363507675
"1552302_at",5.84620178746629,5.40054858289876,5.41020499668595,4.87563205025769,4.88834031503076,4.63605340684545,5.52864709333925,4.1917305960133
"1552303_a_at",7.39232562087595,6.70083273403505,6.85078502418215,6.36104208651413,6.54634906827218,6.47453291039177,7.02338669308529,6.55835506677859
"1552304_at",4.35433284370773,4.47084645626962,4.49484898631154,4.41127440732181,3.88841706201736,4.62443674808478,4.61983991865891,4.68260588944398
"1552306_at",5.60178550071659,4.90805658958115,3.96319722737399,4.83212920381283,4.10129003830051,5.34844908301632,4.49774787902558,5.17046921311275
"1552307_a_at",7.25838515161804,7.32449919996283,6.71556910503804,6.6743289169827,6.82054068008205,7.23132237592191,7.0985436059365,7.06908859068859
"1552309_a_at",9.56883299851382,9.92381745976473,9.04278487122033,10.2972353710807,9.39413213838758,9.95207633878315,9.74256769212796,9.898193140474
"1552310_at",8.24347545098068,8.62024203643011,8.27898693251277,9.03964648463313,8.56836121761878,9.07615495396305,8.04602427953224,9.02171664682611
"1552311_a_at",7.52429889651534,7.39356070423653,7.74967090951926,7.30518017113792,7.76892301316519,7.32154018352785,7.80887312433254,7.31028319332965
"1552312_a_at",6.75848694207323,6.8043518397036,6.64635276928105,7.35061503322532,6.36571303280483,7.39654215652644,5.93704570228063,7.35061503322532
"1552314_a_at",4.04617856748391,4.29182353755637,4.25517822851424,4.27662849850404,4.60154504967289,4.40532380496894,4.38772855966689,4.3731511799341
