"","GSM2595136_NL_1.CEL","GSM2595137_NL_2.CEL","GSM2595138_NL_3.CEL","GSM2595139_NL_4.CEL","GSM2595140_PCOS_1.CEL","GSM2595141_PCOS_2.CEL","GSM2595142_PCOS_3.CEL","GSM2595143_PCOS_4.CEL"
"MSANTD3",10.5154021103903,10.5666047366177,10.6639197712616,10.5265297195216,10.9288788506701,10.563037448382,10.6084600166352,10.6875293654593
"SLC46A1",6.98732743009712,6.89026324896552,6.91295757439798,6.54877297012504,6.65543971019485,6.59495042496878,6.87211614193483,6.61578164813277
"TIMD4",4.62983260476674,4.91773228931021,4.54812868566656,4.68064453280337,4.92337721016968,4.70253224180533,4.96384755253716,4.51170233646521
"SLC39A5",6.51618044847232,6.4863648351994,6.67237533239382,6.51342762439234,6.57833009476078,6.32432085600285,6.56140115227403,6.16181737116975
"ZDHHC11",6.09568566914334,5.71760857239006,6.12510897857173,5.90123437961754,5.88918472575608,6.02733852611732,6.03002144179134,6.10296091499453
"ATP6V1E2",6.44248246739133,6.46742159404425,6.19197381886926,6.13145213201134,6.06684722394458,6.30341291732976,5.98577502734723,6.33764796033083
"AFG3L1P",6.63775851340924,6.60333932225888,6.42263265612889,6.71431513279194,6.19244900591756,6.86058916840104,6.79366377463727,6.97774489337719
"CILP2",5.53992154067586,5.23078912764026,5.76670427829959,5.43802516535067,5.47495236251573,5.22429373078271,5.73932605285252,5.30171507848302
"PIGX",6.96899751167041,6.97330395505585,6.62047724189734,7.05410989141395,6.30531264776048,7.18384771779376,6.48918139729405,7.03539294123566
"TMEM196",3.97559131330123,3.99731927724294,4.14476302076992,4.04866744228188,4.06319983930746,4.04894216151594,4.29104318738168,3.71571824697754
"SLC39A13",9.45419361046713,9.28248835094463,9.35594962026666,9.17210157846947,9.29273122872441,8.93020837388869,9.49823938897425,9.03182745200332
"BEST4",4.68145366676041,4.37767746369043,4.82803254718132,4.38298254128854,4.71927782696385,4.57272057568491,4.93711231407439,4.68241602209624
"AK9",4.79066642297176,5.0430208446183,5.03470971320698,4.92720901387425,5.30495747183477,5.20881846713424,4.68469336990102,5.03452269357588
"CORO6",6.8782971977993,6.56423800873377,6.56830503576656,6.44461981036695,6.59281947432293,6.5082527439866,6.49990560808842,6.29905363507675
"TMEM106A",5.96677480089451,5.61025932481319,5.63121999378528,5.35209917862002,5.49278115178156,5.33909743419256,5.81536238268235,5.22156575987787
"ALG10",4.97805917221216,4.68945152292539,4.22902310684276,4.62170180556732,3.99485355015893,4.98644291555055,4.55879389884224,4.92653755127836
"TTC39C",7.87623639005202,7.85227889285252,7.42111004628991,7.52041223293025,7.39134645896672,7.77125465001073,7.75127189238439,7.73949018999997
"NEXN",9.14580565675787,9.62672294875406,8.70941122035064,10.1467883276431,9.06713370967476,9.66712515217098,9.33115900309436,9.66013214261978
"C15orf40",6.63013545436486,6.83425284456742,6.55194564185079,7.00880955549082,6.48044270626429,7.00254918189568,6.25732188642413,7.24313785243953
"RAX2",7.52429889651534,7.39356070423653,7.74967090951926,7.30518017113792,7.76892301316519,7.32154018352785,7.80887312433254,7.31028319332965
"MFAP3",7.35008999707965,7.32847148983762,7.29309369212692,7.72175881511506,7.20518063226768,7.64519842350701,6.96433503817626,7.56024338047005
"EYA3",5.53722179188862,5.49809700314102,5.59721232150746,5.41897020612566,5.72561983299901,5.47110672058848,5.69041415385459,5.56102475700155
"GIMAP1",4.46764658681695,4.37778727528199,4.49837405606186,4.38416719752612,4.39099113410114,4.31767016793809,4.54457614236519,4.24424062661299
"KLK8",6.05670001577887,5.97026878254669,6.17923313922698,6.1538270703232,6.14703033392892,5.83652817646785,6.1868969789179,5.84639349145742
"CCDC65",3.91034596372947,3.91650085163687,3.84066493002757,3.88712142511654,4.00727800120532,3.86449814351688,3.99035952425546,3.92062116383583
"PABIR3",4.75900574629285,4.68630847616029,4.58973547162575,4.65018419613648,4.65080925356917,4.88872798911317,4.6376017506445,4.73998480478035
"CFAP53",3.94170255000183,4.04118515809999,4.08271579770357,3.85878314748713,3.92358063088603,3.96456320140505,4.08897052025945,4.25330685598434
"ARMCX4",5.12291459270932,5.00090619644633,5.00631246619852,5.07666563201817,4.95682341032074,4.97473057668085,4.83211891533959,5.142150602063
"RBBP6",6.55960628154517,6.7498235267035,6.43514892465798,6.92967862789739,6.82809606462275,7.05247803838677,6.56653323476265,7.10470340054566
"CENPBD1P",7.72152800115357,7.79920366184925,7.87964676663439,7.55119686935427,7.94411973281493,7.69667682580862,7.75341888631602,7.75775580627642
"TRIOBP",9.78177934811149,9.86757835311692,9.63250599115476,9.40168136824281,9.52931597668062,9.25601552267471,9.90785205853888,9.73828762096798
"CATSPER1",6.41697453508571,6.50814426062709,6.54248182609682,6.238464350482,6.35841076351866,6.33762535431878,6.66875270247647,6.47266912186506
"HOXD4",5.96111082256278,6.00315872339088,6.25360169577629,6.47679399917056,5.89201204333409,6.36483891293231,6.1443738415267,6.29808946255321
"GSC",6.51417490521469,6.6070170677821,6.17549137523053,6.28640076879154,6.3441894845716,6.60774952689682,6.66928668971953,6.60988870745389
"SP7",5.4847035192733,5.16498917721537,5.18689411529451,5.21102158836398,5.36839287184001,5.20475338879165,5.36705479071523,5.13773304722719
"PDE7A",4.74813848481741,4.69026981502719,4.65979833375018,4.78611471482535,4.72361550394596,4.77069464625016,4.6463256661851,4.85094333617304
"CNOT7",8.36238834723305,8.41936530347458,8.51046896430858,8.48759329458247,8.39286608914126,8.58347754789847,8.11524394347654,8.70771601903402
"CRYZL1",6.63399968086831,6.83449942300674,6.52445911445212,7.21800607171047,6.59379996723933,7.29085204442854,6.37082086377205,7.34074824235923
"PRSS33",5.76142065464565,5.78064928739749,5.87806485791768,5.55810189922444,5.72807917613306,5.56781227005497,5.88392147417297,5.54505801328579
"CBARP",5.8073250149394,5.72239918721483,5.82725351102911,5.80629730277363,5.83582080058629,5.49539075178333,5.83712317145481,5.64182772725417
"MCMDC2",3.4773433404434,3.42344647208035,3.54654068730861,3.55355350304548,3.49617702129133,3.46319772845537,3.52531917771002,3.54561450995425
"TIRAP",6.57133387805593,6.32778831381109,6.25417187388381,6.2566673103633,6.36430525989786,6.49397367856603,6.3969032848288,6.53611128481998
"LEAP2",5.1347831294908,5.44415004227947,5.54805133975792,5.3995384787483,5.56274978020442,5.35241387042214,5.70373102978838,5.48297486228813
"MSI2",5.17950800769102,5.64313046394145,5.46042105686833,5.47151725168023,5.6168340022919,5.55279784860101,5.42828681516426,5.5242904639781
"SCIN",6.02610692769115,5.69466358693877,5.79868998936526,5.79297112795355,4.89697278310045,6.14714517420797,4.92113246984854,5.14207717212262
"CTCFL",3.13885989128475,3.12017689052801,3.08545465509042,2.92566838179926,3.31152737856986,3.15167541489672,3.09014299113204,3.20087132019863
"C4orf33",3.77214396693729,3.84542871956072,3.63840682626334,4.00258854015963,3.74673851437725,3.95382850124745,3.71614877788086,4.109138880259
"ZNF333",6.02653947843053,5.9592658107405,5.99467251399241,5.97092180198435,5.94120292520164,5.89363335137422,5.94072340037525,5.94291161520627
"TVP23C",7.92330300769647,7.61310236207151,7.76107523920708,7.30208212994482,7.66857468484145,7.34141383882002,7.81314538495408,7.55930545770348
"RDH10",7.07293105143585,8.04497632189557,7.257937012498,8.02639132631367,7.6795671896199,7.25990730398674,7.70583771114267,6.50276816987055
"SRSF12",4.20631420500393,4.17020243595555,4.20466759272216,4.04302255809426,4.30145087774275,4.13592934575577,4.212081337064,3.96086286576876
"GARIN4",6.47475160646874,6.21470127053529,6.57562462612067,6.13864855306012,6.51139343156686,6.189859022455,6.58175391215743,6.13845709895904
"GAPT",2.70831934883982,2.63017637363321,2.79286587556904,2.2480307341895,2.65085013031268,2.65207399638411,2.61726182233538,2.71380301332838
"SCUBE1",6.65568084987332,6.44129218190143,6.74638251654571,6.50782909523004,6.69460358560444,6.43295053607709,6.80639945584578,6.53547531097425
"ERICH5",3.55337666274703,3.31997054884644,3.42811204832424,3.30869669069309,3.46209033140368,3.25459785060894,3.38259149399013,3.27948030867491
"CCDC185",5.72172382454374,4.97973669283849,5.40272915403404,5.39096756498137,5.33054199634918,5.14368682995599,5.32475671959648,5.29940449167267
"ENTHD1",2.78155556925807,2.90032126537552,2.76393534249192,2.78710964411587,2.73131331856636,2.73726291980949,2.72476149749764,2.79918239840905
"TSSK3",7.44962436919969,7.30717541682468,7.31683700092047,7.19607833415894,7.3679675252315,7.32172222166388,7.37715881338576,7.21660681975544
"WFDC6",4.46276491232706,4.62801206478126,4.76508024465347,4.85835994916159,5.08731311877878,4.56601378433506,4.94220211460478,4.53736964852783
