"","GSM2595136","GSM2595137","GSM2595138","GSM2595139","GSM2595140","GSM2595141","GSM2595142","GSM2595143"
"SLC46A1",6.98732743009712,6.98732743009712,6.89026324896552,6.89026324896552,6.91295757439798,6.91295757439798,6.54877297012504,6.54877297012504
"SLC39A5",7.79703461366677,7.79703461366677,7.82745324605849,7.82745324605849,8.1047577395197,8.1047577395197,7.71254718130918,7.71254718130918
"ATP6V1E2",8.06732913190582,8.06732913190582,7.88486930082207,7.88486930082207,7.59506150418085,7.59506150418085,7.6104653229487,7.6104653229487
"AFG3L1P",6.63775851340924,6.63775851340924,6.60333932225888,6.60333932225888,6.42263265612889,6.42263265612889,6.71431513279194,6.71431513279194
"PIGX",7.75468071489235,7.75468071489235,7.84775496597176,7.84775496597176,7.33969776273241,7.33969776273241,7.95525807628503,7.95525807628503
"SLC39A13",9.45419361046713,9.45419361046713,9.28248835094463,9.28248835094463,9.35594962026666,9.35594962026666,9.17210157846947,9.17210157846947
"CORO6",6.8782971977993,6.8782971977993,6.56423800873377,6.56423800873377,6.56830503576656,6.56830503576656,6.44461981036695,6.44461981036695
"TMEM106A",6.95789391458843,6.95789391458843,6.51612866960954,6.51612866960954,6.65611664791974,6.65611664791974,6.28430482889065,6.28430482889065
"TTC39C",7.87623639005202,7.87623639005202,7.85227889285252,7.85227889285252,7.42111004628991,7.42111004628991,7.52041223293025,7.52041223293025
"NEXN",9.14580565675787,9.14580565675787,9.62672294875406,9.62672294875406,8.70941122035064,8.70941122035064,10.1467883276431,10.1467883276431
"C15orf40",8.24347545098068,8.24347545098068,8.62024203643011,8.62024203643011,8.27898693251277,8.27898693251277,9.03964648463314,9.03964648463314
"RAX2",7.52429889651534,7.52429889651534,7.39356070423653,7.39356070423653,7.74967090951926,7.74967090951926,7.30518017113792,7.30518017113792
"MFAP3",7.35008999707965,7.35008999707965,7.32847148983762,7.32847148983762,7.29309369212692,7.29309369212692,7.72175881511506,7.72175881511506
"RBBP6",7.00459663997398,7.00459663997398,7.22719309977658,7.22719309977658,6.79723169419531,6.79723169419531,7.48051105326483,7.48051105326483
"CENPBD1P",7.72152800115357,7.72152800115357,7.79920366184925,7.79920366184925,7.87964676663439,7.87964676663439,7.55119686935427,7.55119686935427
"TRIOBP",9.78177934811149,9.78177934811149,9.86757835311692,9.86757835311692,9.63250599115476,9.63250599115476,9.40168136824281,9.40168136824281
"CATSPER1",6.41697453508571,6.41697453508571,6.50814426062709,6.50814426062709,6.54248182609682,6.54248182609682,6.238464350482,6.238464350482
"HOXD4",5.96111082256278,5.96111082256278,6.00315872339088,6.00315872339088,6.25360169577629,6.25360169577629,6.47679399917056,6.47679399917056
"GSC",6.51417490521469,6.51417490521469,6.60701706778209,6.60701706778209,6.17549137523053,6.17549137523053,6.28640076879154,6.28640076879154
"CNOT7",9.98215583942548,9.98215583942548,10.0975553024694,10.0975553024694,10.1263409170221,10.1263409170221,10.1547224263241,10.1547224263241
"CRYZL1",7.57407863383289,7.57407863383289,7.83797857844278,7.83797857844278,7.4286317018803,7.4286317018803,8.28619762032084,8.28619762032084
"PRSS33",6.40534407201227,6.40534407201227,6.41917817742599,6.41917817742599,6.55270315487427,6.55270315487427,6.14296100746962,6.14296100746962
"CBARP",6.4903388599879,6.4903388599879,6.47183757219734,6.47183757219734,6.54400827242629,6.54400827242629,6.39480904687484,6.39480904687484
"TIRAP",6.57133387805593,6.57133387805593,6.32778831381109,6.32778831381109,6.25417187388381,6.25417187388381,6.2566673103633,6.2566673103633
"SCIN",6.46843083274213,6.46843083274213,6.31416071984012,6.31416071984012,6.26762529349141,6.26762529349141,6.3356157574449,6.3356157574449
"C4orf33",5.55605175298762,5.55605175298762,6.0702001329202,6.0702001329202,5.57926777238298,5.57926777238298,6.73617348704195,6.73617348704195
"ZNF333",6.34869162304848,6.34869162304848,6.37876956865016,6.37876956865016,6.42119389162018,6.42119389162018,6.32471369903821,6.32471369903821
"TVP23C",7.92330300769647,7.92330300769647,7.61310236207151,7.61310236207151,7.76107523920708,7.76107523920708,7.30208212994482,7.30208212994482
"RDH10",8.59344073160222,8.59344073160222,9.94570571082435,9.94570571082435,8.87115087356742,8.87115087356742,9.86874275159675,9.86874275159675
"GARIN4",6.97984788067662,6.97984788067662,6.82197161737867,6.82197161737867,7.14264089622115,7.14264089622115,6.8170580770565,6.8170580770565
"SCUBE1",6.65568084987332,6.65568084987332,6.44129218190143,6.44129218190143,6.74638251654571,6.74638251654571,6.50782909523004,6.50782909523004
"TSSK3",7.44962436919969,7.44962436919969,7.30717541682468,7.30717541682468,7.31683700092047,7.31683700092047,7.19607833415894,7.19607833415894
"ODF4",6.70947448099695,6.70947448099695,6.58552308503259,6.58552308503259,6.93983078944022,6.93983078944022,6.52903324136547,6.52903324136547
"CLEC4F",5.75164365953085,5.75164365953085,6.07207011589862,6.07207011589862,6.04066792334164,6.04066792334164,6.13215930234075,6.13215930234075
"DEFB106A",7.30011662577238,7.30011662577238,7.5215570522763,7.5215570522763,7.63241557424834,7.63241557424834,7.53545697775703,7.53545697775703
"TTLL10",6.09029014432392,6.09029014432392,6.14106943920955,6.14106943920955,6.38753276228148,6.38753276228148,6.17845501018536,6.17845501018536
"ZNF22-AS1",5.70885333832855,5.70885333832855,5.8985312920922,5.8985312920922,5.86002259042163,5.86002259042163,5.87380408378217,5.87380408378217
"TM2D3",9.99176559647273,9.99176559647273,10.345993232689,10.345993232689,9.78568179767714,9.78568179767714,10.8072789659594,10.8072789659594
"MFSD6L",5.99325281981147,5.99325281981147,6.09005188146198,6.09005188146198,6.02429753803556,6.02429753803556,5.60328270864905,5.60328270864905
"DNAJC5G",5.88208524752337,5.88208524752337,5.81771001910493,5.81771001910493,6.00637091890117,6.00637091890117,5.75230662756143,5.75230662756143
"ADAMTSL1",8.334974717351,8.334974717351,8.84239153310335,8.84239153310335,8.76286857458241,8.76286857458241,8.16410153201894,8.16410153201894
"DSCR10",6.26944708218133,6.26944708218133,6.46738879864124,6.46738879864124,6.52952179103501,6.52952179103501,6.02516067250432,6.02516067250432
"ACAP2",8.00938687948296,8.00938687948296,8.28692480382241,8.28692480382241,8.23649469864715,8.23649469864715,8.64390137529625,8.64390137529625
"GAMT",9.17751542223848,9.17751542223848,9.03866970047937,9.03866970047937,9.32655695106128,9.32655695106128,8.83718957237837,8.83718957237837
"PLCD3",8.30620128147369,8.30620128147369,8.01521525416702,8.01521525416702,8.07967136535131,8.07967136535131,8.18795553397526,8.18795553397526
"MAN1A2",7.13665342828111,7.13665342828111,7.24781353267355,7.24781353267355,7.09993084861643,7.09993084861643,7.33124616114997,7.33124616114997
"SMCR8",7.68889062176007,7.68889062176007,7.70202726380862,7.70202726380862,7.81791266429007,7.81791266429007,7.80165831689594,7.80165831689594
"LACTB",8.8851144377539,8.8851144377539,9.20480039594704,9.20480039594704,8.69619711723837,8.69619711723837,9.98380277951057,9.98380277951057
"BNC1",6.29152107673654,6.29152107673654,5.44462378478544,5.44462378478544,6.16932194317626,6.16932194317626,6.35419572135577,6.35419572135577
"MPP4",6.43208207327487,6.43208207327487,6.49830409491777,6.49830409491777,6.11339296340319,6.11339296340319,5.24489738259618,5.24489738259618
"IDI2",5.8181760745143,5.8181760745143,5.76101201400523,5.76101201400523,5.90134748944538,5.90134748944538,5.75678592199379,5.75678592199379
"CYP11B1",5.94814091343563,5.94814091343563,5.92805798470282,5.92805798470282,6.0292650889773,6.0292650889773,5.77347621187,5.77347621187
"GPBAR1",6.75262003414036,6.75262003414036,6.67688312421346,6.67688312421346,6.85210293065637,6.85210293065637,6.48218173663248,6.48218173663248
"FRAS1",6.52359071480359,6.52359071480359,7.16902469185377,7.16902469185377,7.29464060493778,7.29464060493778,7.65095386015157,7.65095386015157
"BRSK1",5.70663347572758,5.70663347572758,6.01779136645092,6.01779136645092,5.91077423429868,5.91077423429868,6.10125791336785,6.10125791336785
"KCNE4",7.63424106540133,7.63424106540133,8.22299596837792,8.22299596837792,7.46645486397852,7.46645486397852,8.46450941145919,8.46450941145919
"SLC34A3",9.25328654101156,9.25328654101156,9.20188703417989,9.20188703417989,9.24957415973972,9.24957415973972,8.7681704841948,8.7681704841948
"ART5",6.97617269190294,6.97617269190294,7.01047781924166,7.01047781924166,7.10890880035365,7.10890880035365,7.07578220733687,7.07578220733687
"LINC01547",6.55455738036333,6.55455738036333,6.44596400071706,6.44596400071706,6.52376480667605,6.52376480667605,6.34197658468058,6.34197658468058
"CLDN19",6.57612020645211,6.57612020645211,6.59194445915384,6.59194445915384,6.54250722962502,6.54250722962502,6.45588086885296,6.45588086885296
"IQCD",6.23490788765616,6.23490788765616,5.86485440438891,5.86485440438891,6.12954391062819,6.12954391062819,6.32138323820105,6.32138323820105
"TAGAP",7.30535020703854,7.30535020703854,7.25635823557016,7.25635823557016,7.49847558896659,7.49847558896659,7.02886443154487,7.02886443154487
"BSND",6.6302113840304,6.6302113840304,6.46840353443195,6.46840353443195,6.73756355636722,6.73756355636722,6.39794577617841,6.39794577617841
"PRSS36",6.25802374516954,6.25802374516954,6.37335823941204,6.37335823941204,6.29057245356277,6.29057245356277,6.04408345114253,6.04408345114253
"RAI1",7.37966033521809,7.37966033521809,7.37550416019059,7.37550416019059,7.47782857620906,7.47782857620906,7.45726594983981,7.45726594983981
"CDK15",6.31230764417464,6.31230764417464,6.40402026989899,6.40402026989899,6.61109060630704,6.61109060630704,6.20964154747971,6.20964154747971
"RTP3",5.80180959937523,5.80180959937523,5.88511300299244,5.88511300299244,6.0716657422227,6.0716657422227,5.83466194314011,5.83466194314011
"TRPV3",5.70402072024874,5.70402072024874,5.93248668889161,5.93248668889161,5.94152420311114,5.94152420311114,6.13725300552119,6.13725300552119
"TMEM190",6.92663206433671,6.92663206433671,6.81935116276269,6.81935116276269,6.77680588479243,6.77680588479243,6.72150130159239,6.72150130159239
"GAS2L2",7.03861584317252,7.03861584317252,6.9630736811165,6.9630736811165,7.16139291636911,7.16139291636911,7.10810385314437,7.10810385314437
"CACNG5",6.33115714859193,6.33115714859193,6.46050564710143,6.46050564710143,6.48099256064134,6.48099256064134,6.17398127444434,6.17398127444434
"LINC00308",5.98724998813296,5.98724998813296,6.04675621344184,6.04675621344184,6.09071236701976,6.09071236701976,5.7878558847721,5.7878558847721
"FAM223B",5.67909710776066,5.67909710776066,5.73694752611915,5.73694752611915,5.84743959134005,5.84743959134005,5.6183916253496,5.6183916253496
"IFNL3",5.93203929076562,5.93203929076562,5.61469829336576,5.61469829336576,5.82376091262019,5.82376091262019,5.83536877731267,5.83536877731267
"JAK1",10.0493532380525,10.0493532380525,10.462295423352,10.462295423352,10.2234685976876,10.2234685976876,10.4620224400508,10.4620224400508
"CDC42SE2",7.21315053827313,7.21315053827313,6.99974799039808,6.99974799039808,6.68933605860661,6.68933605860661,6.99781565962756,6.99781565962756
"ACACB",6.67537627926923,6.67537627926923,6.53559026812711,6.53559026812711,6.60063499081316,6.60063499081316,6.51543579803106,6.51543579803106
"COP1",9.39325956923864,9.39325956923864,9.24449842868454,9.24449842868454,9.2110659175345,9.2110659175345,9.1732590667181,9.1732590667181
"STX6",7.2483916833462,7.2483916833462,7.33408267329579,7.33408267329579,7.38767185756226,7.38767185756226,7.31038350588912,7.31038350588912
"ANLN",8.30667217053801,8.30667217053801,8.93447307404336,8.93447307404336,6.55003987201147,6.55003987201147,7.81814043104427,7.81814043104427
"SPRR4",7.71266002305401,7.71266002305401,7.66739517664696,7.66739517664696,7.5950465554329,7.5950465554329,7.14373094320469,7.14373094320469
"POLR2J2",6.95713160439661,6.95713160439661,7.128585503382,7.128585503382,6.89166554386721,6.89166554386721,7.51080839491873,7.51080839491873
"TRNT1",7.54983537073868,7.54983537073868,7.66998224920726,7.66998224920726,7.26460085731451,7.26460085731451,8.26024431503259,8.26024431503259
"ARHGAP5",7.08999631964425,7.08999631964425,7.45282355143453,7.45282355143453,7.38098925987756,7.38098925987756,7.81097561108484,7.81097561108484
"HERPUD2",8.26730129203841,8.26730129203841,8.35706880253853,8.35706880253853,7.96266548064804,7.96266548064804,8.43203850109817,8.43203850109817
