"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"GAS7",-0.498658125250182,7.15142879634715,-12.7309459605443,1.94087554024255e-06,0.000655172073671441,5.76018832246028,"Not Significant"
"RMI2",-0.70263822527463,7.38275188073753,-12.6798708347676,1.99924954969125e-06,0.00066051802143842,5.73165658968785,"Downregulated"
"CABLES2",-0.555069203720254,7.49850883786779,-12.53247670791,2.17908571484587e-06,0.000704934228752638,5.6485518937908,"Not Significant"
"CDC20",-1.92555224016506,8.45231856854675,-12.3696309001387,2.39924664016546e-06,0.000760316363846719,5.55538968606022,"Downregulated"
"CDK2",-0.989864975571498,8.38239086679333,-12.3209126145506,2.46989316286396e-06,0.00076705002065903,5.52723971952398,"Downregulated"
"PDLIM5",-0.500145208832274,8.57518247189259,-11.972516939814,3.04898918557989e-06,0.000918357865379428,5.32209737342779,"Not Significant"
"BUB1",-0.995133408844537,6.49346978228577,-11.9584512513188,3.0753869783443e-06,0.000918357865379428,5.31367129298952,"Downregulated"
"SIGLEC11",0.472493461601021,5.93481139325799,11.8859724668676,3.21554969389507e-06,0.000942095389562315,5.27007221046198,"Not Significant"
"COL14A1",-1.44096196613665,6.14808685548139,-11.793745619886,3.40439458472258e-06,0.000978952576140226,5.21415317365866,"Downregulated"
"APOBEC3B",-1.77733246532265,7.67202179151488,-11.6449325801602,3.73597602393591e-06,0.00105476792181231,5.12286947661399,"Downregulated"
"REXO5",-0.551115559268154,6.27521268661438,-11.6028493971751,3.83621913140606e-06,0.00106372876200845,5.0968157731678,"Not Significant"
"HJURP",-1.49493144626528,7.39689670295856,-11.5057515684117,4.07924712738846e-06,0.00111127279638751,5.03629453371018,"Downregulated"
"C14orf132",-0.799729106790952,9.47161191889059,-11.448464401373,4.23072195849488e-06,0.00112714877886027,5.00031796306202,"Downregulated"
"SPAG5",-1.41703786657801,7.43577836657851,-11.4212694927076,4.30483298881273e-06,0.00112714877886027,4.98316889263002,"Downregulated"
"ZNF683",0.484817217985812,7.16657091193847,11.4030539717995,4.35528894459147e-06,0.00112714877886027,4.97165668823599,"Not Significant"
"TOLLIP-DT",0.453535207078962,6.33040969871751,11.3417819356031,4.52994822547369e-06,0.00115313173844517,4.93278176349664,"Not Significant"
"NAP1L3",-0.562942698838667,9.47978640962689,-11.288307207892,4.68882864873736e-06,0.00117432469770312,4.89866253035679,"Not Significant"
"CRISPLD2",0.474452831839022,6.98898845053615,11.1408133740478,5.16048080920117e-06,0.00125443834804324,4.80361901408462,"Not Significant"
"NTPCR",0.45921415479399,8.78929148897357,11.120741733816,5.2286906088296e-06,0.00125443834804324,4.79057776732845,"Not Significant"
"CIP2A",-0.924101762019554,6.14866781111369,-11.1142225840181,5.25106212151023e-06,0.00125443834804324,4.78633647327211,"Downregulated"
"LPAR1",-0.679728299138938,9.95306359744241,-11.0834904134564,5.35798262018107e-06,0.00126058718372987,4.76630551671938,"Not Significant"
"PRDM6",-0.558572078636424,7.74003925522462,-10.9942781799832,5.68247085998372e-06,0.00130938686909758,4.70781072348992,"Not Significant"
"KIT",-0.922105530504068,7.02415073924215,-10.9806257988083,5.7340486281965e-06,0.00130938686909758,4.69881328103002,"Downregulated"
"ERAP2",-2.97357647357549,6.1700666610466,-10.927872065789,5.93834766923194e-06,0.00132017278617395,4.66393138853362,"Downregulated"
"TACC3",-0.748471365226198,6.95326519430201,-10.924591451929,5.95131987584858e-06,0.00132017278617395,4.66175611402497,"Downregulated"
"UGDH",-0.397957261664809,11.7409284225508,-10.7880309682416,6.52061244500874e-06,0.00142608549360698,4.57057150284103,"Not Significant"
"RFWD3",-0.782619058030199,7.17895056234373,-10.7380212141534,6.74418792102263e-06,0.00145449652830055,4.53686552805539,"Downregulated"
"UBE2C",-1.93749368622405,9.49764009553842,-10.6757532375333,7.0346850960294e-06,0.00149636424891979,4.49466013169503,"Downregulated"
"NEMP1",-0.555775738251004,7.42284448073746,-10.6346169912002,7.23429492478857e-06,0.00151802880529888,4.4666323079235,"Not Significant"
"PRR11",-0.623153022371106,9.39073082750837,-10.5159035433148,7.8469129736542e-06,0.0016235614673745,4.38509163515937,"Not Significant"
"RHOQ-AS1",0.409329680123853,6.44557171692611,10.4976214473974,7.94633381764954e-06,0.0016235614673745,4.37244685894806,"Not Significant"
"ZWINT",-1.20450742172729,9.25575615032277,-10.4724284032717,8.0856616519531e-06,0.00162986253019338,4.35498363976589,"Downregulated"
"C5",-0.695666364060287,6.08148146939075,-10.4543911096521,8.18709926294976e-06,0.00162986253019338,4.34245312726983,"Not Significant"
"C9orf40",-0.403731529026,7.56413320573217,-10.3441160871558,8.83920255954876e-06,0.00173740680183131,4.26534252640584,"Not Significant"
"SLC46A3",-0.699590608287902,6.25574871383249,-10.3076462678012,9.06753296621088e-06,0.00176000814874153,4.23964916948265,"Not Significant"
"LY6E",-0.781855046645095,9.35383692927761,-10.2779145958027,9.25857884370027e-06,0.0017749038553701,4.21863184774575,"Downregulated"
"CD2",0.372359840480648,6.01736575515289,10.1741975435362,9.96125273231636e-06,0.00188632112716352,4.14481045758544,"Not Significant"
"FAM138F",0.389698160243176,6.12278590585572,10.1519921605911,1.0119349790596e-05,0.00189317184998042,4.12890306294922,"Not Significant"
"CENPA",-1.19400998595459,7.25867614374112,-10.0804956752887,1.06478253148847e-05,0.00195062065015955,4.07743666885617,"Downregulated"
"CCDC18-AS1",0.412582530906827,6.40960578429293,10.0765782912661,1.06776632704509e-05,0.00195062065015955,4.07460576850433,"Not Significant"
"P2RY11",0.374653371782791,6.48656015903585,9.99095407857746,1.13538560107847e-05,0.00201295821760822,4.0124418914496,"Not Significant"
"CAMK1D",-0.85814102288725,7.46824854774867,-9.99037143197668,1.13586188491264e-05,0.00201295821760822,4.01201699361209,"Downregulated"
"TDP1",-0.395116113141812,7.03248555492424,-9.98437094760635,1.14078003058683e-05,0.00201295821760822,4.00763961710896,"Not Significant"
"LOC100133920",0.417650236797056,7.7262609362626,9.96868956842976,1.15374600345654e-05,0.00201296269007564,3.99618711387133,"Not Significant"
"MARCKSL1",-0.496039712455609,9.58874406117046,-9.94921423032277,1.17007959468383e-05,0.00201370973129039,3.98193780461238,"Not Significant"
"GINS3",-1.21421488193045,6.42678253692674,-9.93740417043884,1.18011067457126e-05,0.00201370973129039,3.97328281267753,"Downregulated"
"ALDH16A1",-0.564670816121057,7.76917970125868,-9.88347589328594,1.22715790853387e-05,0.00207122913083847,3.93362611485563,"Not Significant"
"GJD2",0.42209077479365,6.43921548664438,9.81125636066514,1.29349055176393e-05,0.00214305774603573,3.88016842319945,"Not Significant"
"ARAP2",0.387381340303556,6.72179284348504,9.785739428192,1.31788102321092e-05,0.00214305774603573,3.86118388807497,"Not Significant"
"TENT5B",-0.402654406857633,7.14198784419877,-9.78206063882815,1.3214397457536e-05,0.00214305774603573,3.85844269586728,"Not Significant"
"LINC00968",-0.703784276850167,8.35281362698141,-9.74836002548457,1.35454654826717e-05,0.00214305774603573,3.83328201150243,"Downregulated"
"STIL",-1.03272396539175,7.62288727297971,-9.7394893861409,1.36341474725035e-05,0.00214305774603573,3.82664446005128,"Downregulated"
"C18orf54",-0.730394739155214,6.16402478476224,-9.70971840252208,1.39365667128325e-05,0.00214305774603573,3.80432280555207,"Downregulated"
"HK1",0.395312398292711,11.0974142579193,9.70490835626473,1.39861300628267e-05,0.00214305774603573,3.80070978565765,"Not Significant"
"LINC00106",0.44803466374827,6.63242124767575,9.69267929288944,1.41130319650381e-05,0.00214305774603573,3.79151581969804,"Not Significant"
