"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"HMCN1",-0.912614156325533,7.1056941976261,-4.90435860619815,0.00133372642663718,0.026551415324131,-0.979525769708823,"Downregulated"
"KRT18",1.12015780276575,10.5869553974553,4.87408355227432,0.00138420830498213,0.0272766326900539,-1.01898268294718,"Upregulated"
"SLC35E4",-0.792024979983244,8.65893029498944,-4.82946844545299,0.0014624563209463,0.0282099649088872,-1.07737795449075,"Downregulated"
"PLA2G4A",-2.40682391521299,8.7395128731345,-4.7762871055756,0.00156211439711443,0.0294375149980496,-1.14737340628106,"Downregulated"
"LRRN4CL",-0.842486023154875,10.359294323591,-4.7565771747056,0.00160091698864513,0.0299506493972068,-1.1734221626539,"Downregulated"
"MRAP2",-1.02806057567227,7.12770198029715,-4.72857874987143,0.00165786075611973,0.0305118323682062,-1.21052471707177,"Downregulated"
"KIF14",-0.965456905690949,6.47453513796482,-4.70742420607362,0.00170235366824466,0.0311356275153157,-1.23863556988412,"Downregulated"
"STK32B",-1.08027842864403,8.24458070536031,-4.69739419987116,0.00172390376892906,0.0314556730010934,-1.25198710043711,"Downregulated"
"PBK",-1.90788016679201,8.35972850022744,-4.68427793988239,0.00175253589132591,0.0318657814057479,-1.26946956228942,"Downregulated"
"GRIK2",0.721010228961569,6.71983189639304,4.66519182907155,0.00179513213900322,0.0321880044508568,-1.29495496263898,"Upregulated"
"FBLN1",-0.732974581604481,7.57860967486036,-4.65818897930133,0.00181104355943934,0.0323612018308102,-1.3043193786559,"Downregulated"
"TENM2",1.58543263089154,6.9013799539189,4.65537481671464,0.00181748104832451,0.0324016598374086,-1.3080846176147,"Upregulated"
"UBE2T",-0.975344076823765,8.84869035152373,-4.64842054643978,0.00183349660307273,0.032537754574301,-1.31739421828681,"Downregulated"
"SKA3",-0.836823062033392,7.1761594967575,-4.63767470543347,0.00185854794103473,0.0327858186623816,-1.33179371600011,"Downregulated"
"CENPU",-0.788707768298505,7.23210594630467,-4.60201104922025,0.00194440427794155,0.0338863183253383,-1.37970644561127,"Downregulated"
"PELI2",-0.781255211511084,5.65682536927082,-4.56704336956542,0.00203280369566506,0.0348548200800243,-1.4268678040583,"Downregulated"
"PTN",-0.950004228042745,6.83216937444625,-4.56671791777454,0.00203364676664748,0.0348548200800243,-1.42730759827899,"Downregulated"
"SCARA3",-0.886772433520417,7.69067474195405,-4.53871447422736,0.00210763676841513,0.0356119518389012,-1.46520848411058,"Downregulated"
"HOXA1",-0.906483590492233,6.86160302674785,-4.47345281934152,0.00229171474004331,0.0377010763608802,-1.55398685745161,"Downregulated"
"PI16",-0.81577676940217,10.7481585544393,-4.47150495106738,0.0022974715494468,0.0377010763608802,-1.55664630850307,"Downregulated"
"SUV39H1",-0.900062413228515,7.28239752294709,-4.46854105467627,0.00230626140891851,0.037736171925908,-1.56069403100839,"Downregulated"
"PLPP4",0.805478590691031,10.5034952570671,4.41616199711872,0.00246779688415907,0.0394644181433801,-1.63244048386607,"Upregulated"
"LTBP1",-1.50192383935175,9.20884128875756,-4.41223037829078,0.00248040953209802,0.0395163982474102,-1.63784212520294,"Downregulated"
"BORA",-1.01883614646219,6.80818993141486,-4.40716030460312,0.00249677800613824,0.0396826702961255,-1.64481123863456,"Downregulated"
"CRYBG1",-1.38234036615235,7.55829245229177,-4.39885831297947,0.00252383491269929,0.0399219969731006,-1.65623096134299,"Downregulated"
"CCNA2",-1.51509331830537,7.73631105244516,-4.37079215456705,0.00261769302297556,0.0408517962419744,-1.69491191076566,"Downregulated"
"TM4SF1",-1.53993140845309,8.83728534612987,-4.31986576044658,0.00279783783962147,0.0422962173901856,-1.76539296924348,"Downregulated"
"SLC12A7",0.791378456301345,9.70002679411631,4.31464939419959,0.00281703726422674,0.0422962173901856,-1.77263364614967,"Upregulated"
"EVA1C",-1.28216500991613,6.3816734484669,-4.31259153263726,0.00282465078784276,0.0422962173901856,-1.77549118827512,"Downregulated"
"LOC728392",-1.25889680809768,8.94724719513639,-4.29404193734866,0.00289429685575739,0.0429661965355647,-1.80127687048661,"Downregulated"
"MAFB",1.18708510690138,8.41562668981298,4.2911330954818,0.00290538652262396,0.0430485132855962,-1.8053249617057,"Upregulated"
"ANKRD29",-0.944973185998,6.27658129238323,-4.26763824948092,0.00299666820516996,0.0438156910450839,-1.83806648187562,"Downregulated"
"AQP11",0.796251194138338,7.45259987198616,4.26376484777572,0.00301201380027448,0.0439986362094658,-1.84347196970608,"Upregulated"
"HHIP",-2.26088351295769,7.90676718884503,-4.23764831089716,0.00311773490028872,0.0447846323142306,-1.87997512170802,"Downregulated"
"TTK",-1.9258509015033,6.44754249781881,-4.21201423741622,0.00322542882201749,0.0457916363715918,-1.91589931948039,"Downregulated"
"CKS2",-0.948215767784983,10.6546117988868,-4.20547352834755,0.00325354920610532,0.0460538852072958,-1.92508071000815,"Downregulated"
"MRPL39",0.70550909979017,10.158445636446,4.20319908797265,0.00326338988025145,0.0461511093447582,-1.92827484511548,"Upregulated"
"CCDC169",0.865401796245773,6.7493591313,4.19590633029124,0.0032951612352177,0.0464180504289795,-1.93852149655082,"Upregulated"
"RAD51",-1.16342568451859,8.34326861080007,-4.17770579913462,0.00337592520400717,0.0472186889818814,-1.96412717591229,"Downregulated"
"CELF2",0.819347207591401,8.77929919504282,4.17647767181732,0.00338145170967621,0.0472186889818814,-1.96585668494433,"Upregulated"
"PDCD6P1",1.6416337147946,8.2271180261343,4.14035106816964,0.00354848584620014,0.0486968438754187,-2.01682778769991,"Upregulated"
"TNFAIP3",-0.790138323032898,8.22390225433193,-4.13930697224405,0.00355344430598292,0.0487006912473987,-2.01830365482647,"Downregulated"
"GALNT17",-0.927415386953798,7.66644586884699,-4.12355801449434,0.00362915407511842,0.0494328986652972,-2.04058404882139,"Downregulated"
