"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"ERCC6L",-0.800898111898745,6.61294215619202,-8.24693501391393,4.42700458736075e-05,0.00378594976096483,2.61495764904162,"Downregulated"
"LINC00665",-0.900871974342439,5.89544343064396,-8.23822576657699,4.45979028007832e-05,0.00378594976096483,2.60728981116761,"Downregulated"
"TIMELESS",-1.08330958633792,7.60667388796439,-8.23516388619927,4.47138101545353e-05,0.00378594976096483,2.60459227947676,"Downregulated"
"RAD51AP1",-1.59133038766381,7.49063534988007,-8.13834146318281,4.85584910154634e-05,0.00398950396025458,2.51881200209515,"Downregulated"
"PRG4",-3.30269756743876,6.37486718080834,-8.12223642241659,4.92331488356685e-05,0.00400644045461023,2.50445300156735,"Downregulated"
"TCF19",-1.2640244555108,7.89456256921248,-8.09270416808318,5.04976625518976e-05,0.00408399845888472,2.4780548272971,"Downregulated"
"TOP2A",-1.95132313997757,8.56007656915492,-8.05537152533572,5.21483831624241e-05,0.00412543219355868,2.44455818151773,"Downregulated"
"HELLS",-1.1210409497957,6.15644869459527,-8.05115975252446,5.23383656704702e-05,0.00412543219355868,2.44077031929768,"Downregulated"
"DTL",-2.36104068768003,7.33515656283506,-7.96469671894813,5.64144688372226e-05,0.00433572038429809,2.36261024074882,"Downregulated"
"EMP2",-0.972985855235353,8.41515681393573,-7.94255331940021,5.75145621396987e-05,0.00437787314169236,2.34247000188968,"Downregulated"
"EXO1",-1.29567783369787,6.53709605456066,-7.92838884064275,5.82308105364673e-05,0.00438935934956439,2.32956036327271,"Downregulated"
"CSGALNACT1",-0.960376932304747,6.14721137524556,-7.91544677640358,5.88939595486383e-05,0.00439666059553489,2.31774670661551,"Downregulated"
"ZNF367",-1.65470409269641,6.69994703536747,-7.85879107478915,6.18979301668264e-05,0.00453373141335132,2.26582601802092,"Downregulated"
"COL5A3",-1.13956709415507,7.43132456042158,-7.75988517075865,6.75608075004111e-05,0.00487049077732814,2.17438031657713,"Downregulated"
"TAFA5",-1.16506083288751,7.72181721932071,-7.75405496414162,6.79122307297158e-05,0.00487049077732814,2.16895761716043,"Downregulated"
"PLEKHA4",-0.715283150271484,7.54299774061297,-7.72737351967865,6.95467271861529e-05,0.00488318137593541,2.14409497213756,"Downregulated"
"LMNB1",-1.14784484562191,6.67173774051513,-7.72663610661965,6.95925198873169e-05,0.00488318137593541,2.14340674958874,"Downregulated"
"FEN1",-1.00734438343226,8.53960704866611,-7.71927849512003,7.00512678117553e-05,0.00488318137593541,2.13653676339946,"Downregulated"
"POLE2",-1.50548754616854,6.79090170464645,-7.67670731486887,7.27727278704485e-05,0.0050201774580929,2.09667328245742,"Downregulated"
"GINS2",-0.861799107656529,8.09395085436861,-7.67223459649948,7.30654369866689e-05,0.0050201774580929,2.09247375974209,"Downregulated"
"MCM7",-1.1755832439949,8.51197986805052,-7.65862090743015,7.39644730148857e-05,0.00505680723938595,2.07967835165402,"Downregulated"
"RAI2",-0.899085682735341,8.06898682985198,-7.61942126669253,7.66228485389525e-05,0.00511699821176649,2.04272316401504,"Downregulated"
"OIP5",-1.30887945629521,7.03089052212731,-7.59535943740001,7.83073289910374e-05,0.00517428172158651,2.01995656931549,"Downregulated"
"UHRF1",-1.36919207905178,8.61289273322939,-7.58350111969002,7.91526457987628e-05,0.00520762649788774,2.00871341099345,"Downregulated"
"DDIAS",-0.879481502183291,6.86836184185423,-7.47032614064349,8.77527893709763e-05,0.00544322582296652,1.9006339495731,"Downregulated"
"TSPAN8",-1.73353356102186,6.7630016068761,-7.46774551910543,8.79606777847431e-05,0.00544322582296652,1.89815303816143,"Downregulated"
"POC1A",-0.83089297973181,6.94815027679255,-7.43698768801129,9.04811742038294e-05,0.0055753637818931,1.86852664191845,"Downregulated"
"ATAD2",-0.944956668382392,6.85907623299385,-7.411108061014,9.26643629086223e-05,0.00564057910377678,1.84351729971188,"Downregulated"
"LINC00302",-1.53398196866837,6.38142568592959,-7.41049467940098,9.27168146975293e-05,0.00564057910377678,1.84292363654798,"Downregulated"
"GINS1",-1.33576777666454,8.38280463651413,-7.39286741425117,9.42383952964967e-05,0.00567183644249613,1.82584502187209,"Downregulated"
"GSTM4",-0.938438412906887,6.32698310198124,-7.35085269804069,9.79785489781707e-05,0.00576686841122572,1.7849971881944,"Downregulated"
"MND1",-1.30511808902996,6.03647525050973,-7.33411207167338,9.95146394164009e-05,0.00582461409456695,1.7686660091939,"Downregulated"
"HSD11B1",-0.939354273229275,6.31492841351232,-7.27711061318433,0.000104949688340572,0.00594765971004526,1.71282016911081,"Downregulated"
